,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-9,Jimmy Connors,F,5-6 Retired,Dick Stockton,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
1,H2H 14-1,Eddie Dibbs,SF,4-6 7-6 6-1,Jimmy Connors,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
2,H2H 1-1,Tom Okker,SF,6-4 6-2,Dick Stockton,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
3,H2H 1-0,R. Laver,QF,6-0 6-1,Jimmy Connors,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
4,H2H 3-1,K. Rosewall,QF,2-6 6-3 6-4,Eddie Dibbs,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
5,H2H 3-3,T. Roche,QF,7-5 1-6 6-3,Tom Okker,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
6,H2H 1-1,Ross Case,QF,6-3 6-3,Dick Stockton,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
7,H2H 1-0,Onny Parun,R16,6-1 6-3,Jimmy Connors,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
8,H2H 1-0,Wojtek Fibak,R16,6-0 6-2,R. Laver,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
9,H2H 1-2,M. Cox,R16,7-6 7-5,Eddie Dibbs,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
10,H2H 4-1,Vijay Amritraj,R16,5-7 6-3 6-3,K. Rosewall,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
11,H2H 5-0,J. Alexander,R16,3-6 7-6 6-4,T. Roche,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
12,H2H 3-0,Harold Solomon,R16,6-3 0-6 6-4,Tom Okker,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
13,H2H 1-2,Cliff Drysdale,R16,6-3 6-7 7-6,Ross Case,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
14,H2H 1-0,Dale Power,R16,6-3 7-5,Dick Stockton,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
15,,R Case / T Roche,F,6-4 6-1,W Fibak / T Okker,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
16,,V Amritraj / D Stockton,SF,3-6 7-6 7-6,W Fibak / T Okker,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
17,,M Cox / E Dibbs,SF,6-7 6-3 6-3,R Case / T Roche,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
18,,K Carpenter / D Power,QF,6-2 6-0,W Fibak / T Okker,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
19,,R Laver / K Rosewall,QF,7-6 6-4,V Amritraj / D Stockton,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
20,,O Parun / H Solomon,QF,6-3 3-6 6-1,M Cox / E Dibbs,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
21,,J Alexander / C Drysdale,QF,6-4 6-3,R Case / T Roche,1977-02-14,https://matchstat.com/tennis/tournaments/m/WCT%20Toronto/1977,WCT Toronto
