,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-3,Vitas Gerulaitis,F,7-5 7-6 1-6 0-6 6-4,Bill Scanlon,1982-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Zurich/1982,WCT Zurich
1,H2H 1-0,Pascal Portes,SF,6-1 Retired,Bill Scanlon,1982-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Zurich/1982,WCT Zurich
2,H2H 4-0,Kevin Curren,SF,4-6 6-4 7-6,Vitas Gerulaitis,1982-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Zurich/1982,WCT Zurich
3,H2H 2-6,G. Vilas,QF,6-4 6-4,Bill Scanlon,1982-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Zurich/1982,WCT Zurich
4,H2H 1-0,Shlomo Glickstein,QF,6-2 4-6 7-5,Pascal Portes,1982-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Zurich/1982,WCT Zurich
5,H2H 1-1,Corrado Barazzutti,QF,6-2 7-6,Kevin Curren,1982-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Zurich/1982,WCT Zurich
6,H2H 4-0,John Fitzgerald,QF,6-7 6-1 6-0,Vitas Gerulaitis,1982-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Zurich/1982,WCT Zurich
7,H2H 4-0,Tom Gullikson,R16,6-2 6-3,G. Vilas,1982-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Zurich/1982,WCT Zurich
8,H2H 4-5,Wojtek Fibak,R16,3-6 7-6 6-4,Bill Scanlon,1982-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Zurich/1982,WCT Zurich
9,H2H 1-1,Peter Rennert,R16,6-4 7-5,Pascal Portes,1982-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Zurich/1982,WCT Zurich
10,H2H 2-0,Chris Dunk,R16,6-4 7-5,Shlomo Glickstein,1982-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Zurich/1982,WCT Zurich
11,H2H 1-0,Roland Stadler,R16,6-3 6-0,Kevin Curren,1982-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Zurich/1982,WCT Zurich
12,H2H 2-0,Nick Saviano,R16,6-7 6-3 6-4,Corrado Barazzutti,1982-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Zurich/1982,WCT Zurich
13,H2H 4-1,Vijay Amritraj,R16,6-2 7-5,John Fitzgerald,1982-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Zurich/1982,WCT Zurich
14,H2H 3-0,Gianni Ocleppo,R16,6-2 6-1,Vitas Gerulaitis,1982-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Zurich/1982,WCT Zurich
15,H2H 2-0,Marty Davis,R32,7-5 6-2,G. Vilas,1982-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Zurich/1982,WCT Zurich
16,H2H 3-5,I. Nastase,R32,6-4 6-3,Tom Gullikson,1982-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Zurich/1982,WCT Zurich
17,H2H 1-0,Stanislav Birner,R32,7-6 6-3,Bill Scanlon,1982-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Zurich/1982,WCT Zurich
