,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 8-1,Brad Gilbert,F,3-6 6-4 7-5,Tim Mayotte,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
1,H2H 2-2,Todd Witsken,SF,6-3 6-2,Tim Mayotte,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
2,H2H 3-2,Richey Reneberg,SF,6-4 3-6 6-3,Brad Gilbert,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
3,H2H 3-0,Simon Youl,QF,6-3 6-3,Tim Mayotte,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
4,H2H 1-1,Jim Grabb,QF,4-6 7-6 6-3,Todd Witsken,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
5,H2H 2-1,Ramesh Krishnan,QF,6-1 6-1,Richey Reneberg,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
6,H2H 2-0,Paul Chamberlin,QF,6-7 6-4 6-4,Brad Gilbert,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
7,H2H 1-0,Barry Moir,R16,7-6 6-3,Tim Mayotte,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
8,H2H 1-3,Derrick Rostagno,R16,7-6 7-6,Simon Youl,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
9,H2H 3-1,Jay Berger,R16,7-6 6-3,Jim Grabb,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
10,H2H 1-1,Paul Annacone,R16,1-6 6-2 6-3,Todd Witsken,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
11,H2H 4-0,Javier Frana,R16,7-5 6-1,Ramesh Krishnan,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
12,H2H 1-0,Yannick Noah,R16,6-3 7-5,Richey Reneberg,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
13,H2H 1-0,Chris Garner,R16,6-3 6-2,Paul Chamberlin,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
14,H2H 3-1,Gary Muller,R16,6-2 7-6,Brad Gilbert,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
15,H2H 1-0,John Ross,R32,7-6 6-2,Tim Mayotte,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
16,H2H 1-0,Johan Carlsson,R32,7-5 4-6 6-3,Barry Moir,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
17,H2H 2-1,Gianluca Pozzi,R32,6-7 6-1 6-1,Simon Youl,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
18,H2H 1-0,Philip Johnson,R32,7-6 7-5,Derrick Rostagno,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
19,H2H 1-0,Nduka Odizor,R32,6-2 6-2,Jay Berger,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
20,H2H 1-1,Jimmy Arias,R32,7-6 7-6,Jim Grabb,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
21,H2H 1-1,Neil Broad,R32,6-4 6-4,Todd Witsken,1989-07-24,https://matchstat.com/tennis/tournaments/m/Washington%20DC/1989,Washington DC
