,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 8-4,Yevgeny Kafelnikov,F,7-6 6-1,Andre Agassi,1999-08-16,https://matchstat.com/tennis/tournaments/m/Washington/1999,Washington
1,H2H 9-6,Nicolas Kiefer,SF,6-2 2-6 6-3,Yevgeny Kafelnikov,1999-08-16,https://matchstat.com/tennis/tournaments/m/Washington/1999,Washington
2,H2H 13-5,Todd Martin,SF,6-4 6-2,Andre Agassi,1999-08-16,https://matchstat.com/tennis/tournaments/m/Washington/1999,Washington
3,H2H 1-0,Tomas Zib,QF,6-1 6-7 7-5,Yevgeny Kafelnikov,1999-08-16,https://matchstat.com/tennis/tournaments/m/Washington/1999,Washington
4,H2H 3-0,Jan Kroslak,QF,6-4 6-3,Nicolas Kiefer,1999-08-16,https://matchstat.com/tennis/tournaments/m/Washington/1999,Washington
5,H2H 1-0,Paul Goldstein,QF,6-4 7-5,Todd Martin,1999-08-16,https://matchstat.com/tennis/tournaments/m/Washington/1999,Washington
6,H2H 3-3,Fabrice Santoro,QF,6-4 7-5,Andre Agassi,1999-08-16,https://matchstat.com/tennis/tournaments/m/Washington/1999,Washington
7,H2H 1-0,Justin Gimelstob,R16,7-5 6-4,Yevgeny Kafelnikov,1999-08-16,https://matchstat.com/tennis/tournaments/m/Washington/1999,Washington
8,H2H 2-2,Marc Rosset,R16,6-3 6-2,Tomas Zib,1999-08-16,https://matchstat.com/tennis/tournaments/m/Washington/1999,Washington
9,H2H 2-0,Tim Henman,R16,3-6 6-3 6-4,Jan Kroslak,1999-08-16,https://matchstat.com/tennis/tournaments/m/Washington/1999,Washington
10,H2H 1-1,John van Lottum,R16,7-5 6-2,Nicolas Kiefer,1999-08-16,https://matchstat.com/tennis/tournaments/m/Washington/1999,Washington
11,H2H 1-0,Alex Corretja,R16,7-6 7-6,Paul Goldstein,1999-08-16,https://matchstat.com/tennis/tournaments/m/Washington/1999,Washington
12,H2H 2-0,Ramon Delgado,R16,WO,Todd Martin,1999-08-16,https://matchstat.com/tennis/tournaments/m/Washington/1999,Washington
13,H2H 7-2,Marat Safin,R16,6-0 6-4,Fabrice Santoro,1999-08-16,https://matchstat.com/tennis/tournaments/m/Washington/1999,Washington
14,H2H 1-1,Bjorn Phau,R16,6-1 6-3,Andre Agassi,1999-08-16,https://matchstat.com/tennis/tournaments/m/Washington/1999,Washington
15,H2H 2-0,Wayne Black,R32,0-6 6-2 6-4,Yevgeny Kafelnikov,1999-08-16,https://matchstat.com/tennis/tournaments/m/Washington/1999,Washington
16,H2H 3-2,Wayne Arthurs,R32,6-4 6-1,Justin Gimelstob,1999-08-16,https://matchstat.com/tennis/tournaments/m/Washington/1999,Washington
