,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 11-3,James Blake,,,5622367.0,245894.0,,6.4,James Blake,,,,,,,,,,,,,,,,2.0,,,,6.40,1.17,F,7-5 6-3,Andy Roddick,,,5622367.0,245893.0,,1.167,Andy Roddick,,,,,,,,,,,,,,,,1.0,,,,2005-08-01,https://matchstat.com/tennis/tournaments/m/Washington/2005,Washington
1,H2H 7-1,Paradorn Srichaphan,,,5622365.0,245890.0,,6.92,Paradorn Srichaphan,,,,,,,,,,,,,,,,2.0,,,,6.92,1.15,SF,7-6(4) 6-2,Andy Roddick,,,5622365.0,245889.0,,1.151,Andy Roddick,,,,,,,,,,,,,,,,1.0,,,,2005-08-01,https://matchstat.com/tennis/tournaments/m/Washington/2005,Washington
2,H2H 2-2,Tomas Berdych,,,5622366.0,245892.0,,1.98,Tomas Berdych,,,,,,,,,,,,,,,,2.0,,,,1.98,1.93,SF,6-4 6-3,James Blake,,,5622366.0,245891.0,,1.926,James Blake,,,,,,,,,,,,,,,,1.0,,,,2005-08-01,https://matchstat.com/tennis/tournaments/m/Washington/2005,Washington
3,H2H 5-1,Ivo Karlovic,,,5622361.0,245884.0,,7.1,Ivo Karlovic,,,,,,,,,,,,,,,,2.0,,,,7.10,1.15,QF,6-7(7) 7-5 6-4,Andy Roddick,,,5622361.0,245883.0,,1.148,Andy Roddick,,,,,,,,,,,,,,,,1.0,,,,2005-08-01,https://matchstat.com/tennis/tournaments/m/Washington/2005,Washington
4,H2H 1-2,Luis Horna,,,5622362.0,245882.0,,2.73,Luis Horna,,,,,,,,,,,,,,,,2.0,,,,2.73,1.55,QF,6-4 7-5,Paradorn Srichaphan,,,5622362.0,245881.0,,1.546,Paradorn Srichaphan,,,,,,,,,,,,,,,,1.0,,,,2005-08-01,https://matchstat.com/tennis/tournaments/m/Washington/2005,Washington
5,H2H 8-0,Arnaud Clement,,,5622363.0,245885.0,,3.21,Arnaud Clement,,,,,,,,,,,,,,,,1.0,,,,3.21,1.42,QF,6-3 6-2,James Blake,,,5622363.0,245886.0,,1.415,James Blake,,,,,,,,,,,,,,,,2.0,,,,2005-08-01,https://matchstat.com/tennis/tournaments/m/Washington/2005,Washington
6,H2H 2-0,Bobby Reynolds,,,5622364.0,245888.0,,3.99,Bobby Reynolds,,,,,,,,,,,,,,,,2.0,,,,3.99,1.30,QF,7-6(5) 7-6(9),Tomas Berdych,,,5622364.0,245887.0,,1.304,Tomas Berdych,,,,,,,,,,,,,,,,1.0,,,,2005-08-01,https://matchstat.com/tennis/tournaments/m/Washington/2005,Washington
7,H2H 6-2,Juan Ignacio Chela,,,5622353.0,245878.0,,11.0,Juan Ignacio Chela,,,,,,,,,,,,,,,,2.0,,,,11.00,1.08,R16,6-4 6-7(4) 6-4,Andy Roddick,,,5622353.0,245877.0,,1.082,Andy Roddick,,,,,,,,,,,,,,,,1.0,,,,2005-08-01,https://matchstat.com/tennis/tournaments/m/Washington/2005,Washington
8,H2H 2-3,Greg Rusedski,,,5622354.0,245865.0,,1.629,Greg Rusedski,,,,,,,,,,,,,,,,1.0,,,,1.63,2.49,R16,7-6(4) 6-2,Ivo Karlovic,,,5622354.0,245866.0,,2.49,Ivo Karlovic,,,,,,,,,,,,,,,,2.0,,,,2005-08-01,https://matchstat.com/tennis/tournaments/m/Washington/2005,Washington
9,H2H 3-0,Wesley Moodie,,,5622355.0,245869.0,,2.73,Wesley Moodie,,,,,,,,,,,,,,,,1.0,,,,2.73,1.54,R16,6-3 7-6(1),Paradorn Srichaphan,,,5622355.0,245870.0,,1.535,Paradorn Srichaphan,,,,,,,,,,,,,,,,2.0,,,,2005-08-01,https://matchstat.com/tennis/tournaments/m/Washington/2005,Washington
