,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-1,Richey Reneberg,F,6-7 6-4 4-6 6-4 6-1,Emilio Sanchez,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
1,H2H 4-2,Paolo Cane,SF,7-5 6-2,Emilio Sanchez,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
2,H2H 5-0,Karel Novacek,SF,6-7 6-4 6-0,Richey Reneberg,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
3,H2H 4-1,Richard Fromberg,QF,6-4 6-3,Emilio Sanchez,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
4,H2H 3-0,Gilad Bloom,QF,7-6 2-6 6-3,Paolo Cane,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
5,H2H 5-0,Lars-Anders Wahlgren,QF,6-3 6-1,Karel Novacek,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
6,H2H 1-5,Andrei Chesnokov,QF,2-6 6-0 6-0,Richey Reneberg,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
7,H2H 2-0,Lars Jonsson,R16,4-6 6-3 7-5,Emilio Sanchez,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
8,H2H 1-0,Paul Chamberlin,R16,6-3 6-4,Richard Fromberg,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
9,H2H 2-1,Veli Paloheimo,R16,6-4 4-6 6-4,Gilad Bloom,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
10,H2H 1-0,Bruce Derlin,R16,7-6 6-4,Paolo Cane,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
11,H2H 1-0,Johan Anderson,R16,6-3 4-6 6-3,Karel Novacek,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
12,H2H 1-1,Jeremy Bates,R16,6-4 6-7 6-3,Lars-Anders Wahlgren,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
13,H2H 2-0,Christian Bergstrom,R16,6-4 6-3,Richey Reneberg,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
14,H2H 1-0,Thomas Hogstedt,R16,7-6 7-6,Andrei Chesnokov,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
15,H2H 1-0,Steve Guy,R32,4-6 6-1 6-4,Emilio Sanchez,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
16,H2H 1-1,Brett Steven,R32,7-5 6-4,Lars Jonsson,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
17,H2H 2-0,Olivier Delaitre,R32,7-6 6-1,Richard Fromberg,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
18,H2H 1-0,Jens Woehrmann,R32,6-3 6-7 6-0,Paul Chamberlin,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
19,H2H 1-0,Magnus Gustafsson,R32,6-1 7-5,Gilad Bloom,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
20,H2H 1-0,Markus Zoecke,R32,6-3 6-2,Veli Paloheimo,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
21,H2H 1-0,Aki Rahunen,R32,6-3 5-7 6-3,Bruce Derlin,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
22,H2H 1-1,Ramesh Krishnan,R32,6-4 5-7 6-3,Paolo Cane,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
23,H2H 1-1,Javier Sanchez,R32,6-3 6-4,Johan Anderson,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
24,H2H 5-4,Francisco Clavet,R32,6-2 6-3,Karel Novacek,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
25,H2H 1-0,Grant Connell,R32,7-5 6-2,Jeremy Bates,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
26,H2H 1-0,Kelly Evernden,R32,3-6 7-6 7-6,Lars-Anders Wahlgren,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
27,H2H 1-0,Sergio Casal,R32,6-4 4-6 7-5,Richey Reneberg,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
28,H2H 1-0,Dan Goldie,R32,6-3 6-2,Christian Bergstrom,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
29,H2H 1-0,Shuzo Matsuoka,R32,5-7 7-6 6-2,Thomas Hogstedt,1990-01-01,https://matchstat.com/tennis/tournaments/m/Wellington/1990,Wellington
