,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-1,Cliff Richey,F,6-3 6-4 6-4,R. Laver,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
1,H2H 3-0,Cliff Drysdale,SF,6-4 6-4,R. Laver,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
2,H2H 1-4,K. Rosewall,SF,7-5 6-2,Cliff Richey,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
3,H2H 1-0,I. Nastase,QF,6-1 6-2,R. Laver,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
4,H2H 1-0,Dennis Ralston,QF,9-8 6-8 6-3,Cliff Drysdale,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
5,H2H 2-1,R. Taylor,QF,8-6 8-9 6-2,Cliff Richey,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
6,H2H 2-0,P. Gonzales,QF,6-2 6-3,K. Rosewall,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
7,H2H 3-0,A. Gimeno,R16,6-1 4-6 9-8,R. Laver,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
8,H2H 7-1,Tom Gorman,R16,6-8 6-2 6-4,I. Nastase,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
9,H2H 3-1,M. Cox,R16,9-8 6-3,Cliff Drysdale,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
10,H2H 1-0,J. Alexander,R16,6-3 3-6 8-6,Dennis Ralston,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
11,H2H 1-0,R. Emerson,R16,6-3 6-2,R. Taylor,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
12,H2H 3-0,Pierre Barthes,R16,7-5 8-6,Cliff Richey,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
13,H2H 1-0,S. Smith,R16,8-9 9-8 9-8,P. Gonzales,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
14,H2H 3-0,Niki Pilic,R16,6-2 6-1,K. Rosewall,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
15,H2H 3-0,J. Fillol,R32,7-5 7-5,R. Laver,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
16,H2H 3-0,R. Ruffels,R32,6-3 6-2,A. Gimeno,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
17,H2H 4-0,Crealy,R32,6-4 6-4,I. Nastase,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
18,H2H 3-1,M. Riessen,R32,8-9 9-8 7-5,Tom Gorman,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
19,H2H 1-2,A. Ashe,R32,6-1 6-2,Cliff Drysdale,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
20,H2H 1-0,David Lloyd,R32,8-6 6-3,M. Cox,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
21,H2H 1-2,Tom Okker,R32,6-2 9-8,J. Alexander,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
22,H2H 1-0,C. Graebner,R32,6-8 6-1 6-4,Dennis Ralston,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
23,H2H 2-0,Davidson,R32,9-8 6-2,R. Taylor,1970-11-16,https://matchstat.com/tennis/tournaments/m/Wembley/1970,Wembley
