,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-1,MaliVai Washington,F,6-3 6-4 6-3,Richard Krajicek,1996-06-24,https://matchstat.com/tennis/tournaments/m/Wimbledon/1996,Wimbledon
1,H2H 3-3,Jason Stoltenberg,SF,7-5 6-2 6-1,Richard Krajicek,1996-06-24,https://matchstat.com/tennis/tournaments/m/Wimbledon/1996,Wimbledon
2,H2H 1-1,Todd Martin,SF,5-7 6-4 6-7 6-3 10-8,MaliVai Washington,1996-06-24,https://matchstat.com/tennis/tournaments/m/Wimbledon/1996,Wimbledon
3,H2H 6-4,Pete Sampras,QF,7-5 7-6 6-4,Richard Krajicek,1996-06-24,https://matchstat.com/tennis/tournaments/m/Wimbledon/1996,Wimbledon
4,H2H 2-4,Goran Ivanisevic,QF,6-3 7-6 6-7 7-6,Jason Stoltenberg,1996-06-24,https://matchstat.com/tennis/tournaments/m/Wimbledon/1996,Wimbledon
5,H2H 3-5,Tim Henman,QF,7-6 7-6 6-4,Todd Martin,1996-06-24,https://matchstat.com/tennis/tournaments/m/Wimbledon/1996,Wimbledon
6,H2H 1-1,Alexandru Radulescu,QF,6-7 7-6 5-7 7-6 6-4,MaliVai Washington,1996-06-24,https://matchstat.com/tennis/tournaments/m/Wimbledon/1996,Wimbledon
7,H2H 7-0,Cedric Pioline,R16,6-4 6-4 6-2,Pete Sampras,1996-06-24,https://matchstat.com/tennis/tournaments/m/Wimbledon/1996,Wimbledon
8,H2H 6-8,Michael Stich,R16,6-4 7-6 6-4,Richard Krajicek,1996-06-24,https://matchstat.com/tennis/tournaments/m/Wimbledon/1996,Wimbledon
9,H2H 2-2,Patrick Rafter,R16,7-6 4-6 7-6 6-1,Goran Ivanisevic,1996-06-24,https://matchstat.com/tennis/tournaments/m/Wimbledon/1996,Wimbledon
10,H2H 3-2,Jakob Hlasek,R16,6-2 7-6 6-2,Jason Stoltenberg,1996-06-24,https://matchstat.com/tennis/tournaments/m/Wimbledon/1996,Wimbledon
11,H2H 5-0,Magnus Gustafsson,R16,7-6 6-4 7-6,Tim Henman,1996-06-24,https://matchstat.com/tennis/tournaments/m/Wimbledon/1996,Wimbledon
12,H2H 5-0,Thomas Johansson,R16,3-6 6-3 7-5 6-2,Todd Martin,1996-06-24,https://matchstat.com/tennis/tournaments/m/Wimbledon/1996,Wimbledon
13,H2H 1-2,Paul Haarhuis,R16,6-3 6-4 6-2,MaliVai Washington,1996-06-24,https://matchstat.com/tennis/tournaments/m/Wimbledon/1996,Wimbledon
14,H2H 1-1,Neville Godwin,R16,6-3 6-0 6-4,Alexandru Radulescu,1996-06-24,https://matchstat.com/tennis/tournaments/m/Wimbledon/1996,Wimbledon
15,H2H 6-1,Karol Kucera,R32,6-4 6-1 6-7 7-6,Pete Sampras,1996-06-24,https://matchstat.com/tennis/tournaments/m/Wimbledon/1996,Wimbledon
16,H2H 2-0,Jan Kroslak,R32,6-2 7-6 6-3,Cedric Pioline,1996-06-24,https://matchstat.com/tennis/tournaments/m/Wimbledon/1996,Wimbledon
17,H2H 4-0,Sandon Stolle,R32,6-3 4-6 6-2 6-3,Michael Stich,1996-06-24,https://matchstat.com/tennis/tournaments/m/Wimbledon/1996,Wimbledon
18,H2H 4-1,Brett Steven,R32,7-6 6-7 6-4 6-2,Richard Krajicek,1996-06-24,https://matchstat.com/tennis/tournaments/m/Wimbledon/1996,Wimbledon
