,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 26-23,Rafael Nadal,5.0,1.0,6010111.0,159535.0,,1.67,Rafael Nadal,,6.0,3.0,95.0,31.0,82.0,64.0,43.0,18.0,8.0,,,189.0,143.0,202.0,1.0,,15.0,21.0,1.67,2.40,F,6-4 6-1 1-6 6-3,Novak Djokovic,7.0,1.0,6010111.0,159536.0,,2.4,Novak Djokovic,,6.0,5.0,82.0,31.0,95.0,69.0,50.0,26.0,14.0,,,188.0,149.0,202.0,2.0,,12.0,27.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
1,H2H 17-7,Andy Murray,15.0,5.0,6010109.0,159502.0,,2.76,Andy Murray,,4.0,1.0,103.0,27.0,113.0,66.0,48.0,47.0,23.0,,,191.0,149.0,217.0,2.0,,39.0,42.0,2.76,1.52,SF,5-7 6-2 6-2 6-4,Rafael Nadal,6.0,1.0,6010109.0,159501.0,,1.52,Rafael Nadal,,8.0,5.0,113.0,42.0,103.0,70.0,57.0,33.0,19.0,,,186.0,144.0,205.0,1.0,,7.0,37.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
2,H2H 15-6,Jo-Wilfried Tsonga,12.0,5.0,6010110.0,159503.0,,3.28,Jo-Wilfried Tsonga,,5.0,3.0,120.0,31.0,133.0,90.0,61.0,43.0,20.0,,,191.0,152.0,222.0,1.0,,29.0,41.0,3.28,1.41,SF,7-6(4) 6-2 6-7(9) 6-3,Novak Djokovic,5.0,1.0,6010110.0,159504.0,,1.408,Novak Djokovic,,12.0,6.0,133.0,52.0,120.0,79.0,61.0,41.0,28.0,,,188.0,149.0,205.0,2.0,,13.0,34.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
3,H2H 8-1,Mardy Fish,12.0,0.0,6010105.0,159454.0,,6.95,Mardy Fish,,7.0,3.0,105.0,30.0,123.0,65.0,49.0,58.0,23.0,,,186.0,149.0,210.0,2.0,,27.0,33.0,6.95,1.14,QF,6-3 6-3 5-7 6-4,Rafael Nadal,5.0,1.0,6010105.0,159453.0,,1.14,Rafael Nadal,,12.0,6.0,123.0,51.0,105.0,71.0,55.0,34.0,20.0,,,181.0,146.0,201.0,1.0,,13.0,43.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
4,H2H 10-0,Feliciano Lopez,7.0,5.0,6010106.0,159456.0,,7.8,Feliciano Lopez,,2.0,0.0,84.0,20.0,98.0,63.0,48.0,35.0,11.0,,,193.0,160.0,212.0,2.0,,23.0,31.0,7.80,1.12,QF,6-3 6-4 6-4,Andy Murray,13.0,3.0,6010106.0,159455.0,,1.12,Andy Murray,,10.0,3.0,98.0,39.0,84.0,47.0,40.0,37.0,24.0,,,191.0,146.0,209.0,1.0,,11.0,40.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
5,H2H 6-11,Roger Federer,17.0,1.0,6010107.0,159458.0,,1.2,Roger Federer,,1.0,1.0,145.0,42.0,137.0,103.0,80.0,34.0,24.0,,,183.0,157.0,202.0,2.0,,11.0,57.0,1.20,5.45,QF,3-6 6-7(3) 6-4 6-4 6-4,Jo-Wilfried Tsonga,18.0,4.0,6010107.0,159457.0,,5.45,Jo-Wilfried Tsonga,,9.0,3.0,137.0,33.0,145.0,102.0,74.0,43.0,29.0,,,194.0,152.0,217.0,1.0,,22.0,63.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
6,H2H 5-0,Bernard Tomic,7.0,2.0,6010108.0,159459.0,,8.6,Bernard Tomic,,5.0,3.0,109.0,37.0,144.0,94.0,59.0,50.0,24.0,,,185.0,151.0,202.0,1.0,,41.0,43.0,8.60,1.11,QF,6-2 3-6 6-3 7-5,Novak Djokovic,14.0,4.0,6010108.0,159460.0,,1.11,Novak Djokovic,,15.0,6.0,144.0,61.0,109.0,69.0,54.0,40.0,18.0,,,186.0,144.0,202.0,2.0,,27.0,39.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
7,H2H 8-4,Juan Martin Del Potro,11.0,4.0,6010097.0,159392.0,,5.0,Juan Martin Del Potro,106.0,3.0,1.0,129.0,36.0,142.0,100.0,76.0,42.0,21.0,,,191.0,159.0,215.0,2.0,230.0,21.0,44.0,5.00,1.22,R16,7-6(6) 3-6 7-6(4) 6-4,Rafael Nadal,13.0,1.0,6010097.0,159391.0,,1.22,Rafael Nadal,124.0,5.0,1.0,142.0,45.0,129.0,94.0,74.0,35.0,19.0,,,185.0,146.0,209.0,1.0,230.0,16.0,61.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
8,H2H 1-0,Tomas Berdych,7.0,3.0,6010098.0,159394.0,,1.45,Tomas Berdych,,2.0,0.0,93.0,22.0,110.0,62.0,46.0,48.0,27.0,,,199.0,164.0,213.0,2.0,,18.0,31.0,1.45,3.05,R16,7-6(5) 6-4 6-4,Mardy Fish,23.0,2.0,6010098.0,159393.0,,3.05,Mardy Fish,,7.0,2.0,110.0,37.0,93.0,58.0,53.0,35.0,18.0,,,191.0,146.0,212.0,1.0,,12.0,42.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
9,H2H 8-3,Richard Gasquet,2.0,2.0,6010099.0,159382.0,,4.0,Richard Gasquet,,2.0,0.0,93.0,26.0,84.0,62.0,43.0,22.0,11.0,,,175.0,152.0,202.0,2.0,,12.0,30.0,4.00,1.31,R16,7-6(3) 6-3 6-2,Andy Murray,14.0,2.0,6010099.0,159381.0,,1.31,Andy Murray,,5.0,3.0,84.0,30.0,93.0,56.0,45.0,37.0,22.0,,,194.0,146.0,215.0,1.0,,10.0,44.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
10,H2H 2-1,Lukasz Kubot,27.0,8.0,6010100.0,159383.0,,3.75,Lukasz Kubot,,8.0,3.0,177.0,61.0,184.0,127.0,95.0,57.0,24.0,,,193.0,168.0,213.0,1.0,,27.0,80.0,3.75,1.33,R16,3-6 6-7(5) 7-6(7) 7-5 7-5,Feliciano Lopez,28.0,6.0,6010100.0,159384.0,,1.33,Feliciano Lopez,,10.0,4.0,184.0,65.0,177.0,94.0,75.0,83.0,41.0,,,191.0,159.0,215.0,2.0,,20.0,80.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
11,H2H 1-3,David Ferrer,7.0,5.0,6010101.0,782262.0,,2.82,David Ferrer,,2.0,0.0,82.0,17.0,101.0,61.0,42.0,40.0,24.0,,,181.0,154.0,196.0,1.0,,18.0,28.0,2.82,1.50,R16,6-3 6-4 7-6(1),Jo-Wilfried Tsonga,12.0,2.0,6010101.0,782263.0,,1.5,Jo-Wilfried Tsonga,,9.0,3.0,101.0,35.0,82.0,54.0,50.0,28.0,15.0,,,196.0,160.0,218.0,2.0,,15.0,37.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
12,H2H 16-0,Mikhail Youzhny,6.0,6.0,6010102.0,159389.0,,20.0,Mikhail Youzhny,,7.0,1.0,114.0,32.0,140.0,89.0,58.0,51.0,22.0,,,181.0,149.0,194.0,1.0,,23.0,35.0,20.00,1.03,R16,6-7(5) 6-3 6-3 6-3,Roger Federer,14.0,1.0,6010102.0,159390.0,,1.03,Roger Federer,,14.0,6.0,140.0,60.0,114.0,71.0,60.0,43.0,22.0,,,188.0,159.0,207.0,2.0,,25.0,54.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
13,H2H 1-1,Xavier Malisse,13.0,6.0,6010103.0,159386.0,,1.55,Xavier Malisse,,2.0,0.0,83.0,19.0,81.0,47.0,34.0,34.0,16.0,,,180.0,139.0,194.0,2.0,,21.0,28.0,1.55,2.66,R16,6-1 7-5 6-4,Bernard Tomic,10.0,0.0,6010103.0,159385.0,,2.66,Bernard Tomic,,11.0,4.0,81.0,31.0,83.0,61.0,44.0,22.0,20.0,,,178.0,149.0,197.0,1.0,,8.0,37.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
14,H2H 3-1,Michael Llodra,8.0,7.0,6010104.0,159387.0,,15.0,Michael Llodra,,0.0,0.0,72.0,14.0,82.0,44.0,32.0,38.0,16.0,,,189.0,168.0,209.0,1.0,,21.0,27.0,15.00,1.05,R16,6-3 6-3 6-3,Novak Djokovic,9.0,1.0,6010104.0,159388.0,,1.05,Novak Djokovic,,11.0,4.0,82.0,34.0,72.0,50.0,42.0,22.0,16.0,,,189.0,159.0,204.0,2.0,,6.0,32.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
15,H2H 5-1,Gilles Muller,17.0,6.0,6010081.0,159350.0,,33.0,Gilles Muller,,2.0,0.0,93.0,20.0,96.0,70.0,57.0,26.0,11.0,,,188.0,160.0,205.0,2.0,,22.0,36.0,33.00,1.01,R32,7-6(6) 7-6(5) 6-0,Rafael Nadal,7.0,1.0,6010081.0,159349.0,,1.01,Rafael Nadal,,6.0,3.0,96.0,28.0,93.0,66.0,55.0,27.0,18.0,,,178.0,143.0,196.0,1.0,,3.0,30.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
16,H2H 4-3,Gilles Simon,11.0,,6010082.0,159352.0,,4.9,Gilles Simon,,6.0,1.0,112.0,29.0,127.0,87.0,60.0,40.0,21.0,,,175.0,144.0,205.0,2.0,,24.0,40.0,4.90,1.23,R32,7-6(8) 7-6(5) 7-5,Juan Martin Del Potro,12.0,,6010082.0,159351.0,,1.23,Juan Martin Del Potro,,7.0,2.0,127.0,46.0,112.0,72.0,58.0,40.0,25.0,,,194.0,154.0,209.0,1.0,,19.0,45.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
17,H2H 2-0,Robin Haase,10.0,7.0,6010083.0,159354.0,,4.3,Robin Haase,,3.0,0.0,99.0,26.0,155.0,107.0,66.0,48.0,23.0,,,,,,2.0,,24.0,40.0,4.30,1.27,R32,6-3 6-7(5) 6-2 1-1 Retired,Mardy Fish,11.0,3.0,6010083.0,159353.0,,1.27,Mardy Fish,,20.0,3.0,155.0,66.0,99.0,58.0,48.0,41.0,25.0,,,,,,1.0,,32.0,47.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
18,H2H 2-0,Alex Bogomolov Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,6-2 6-4 6-3,Tomas Berdych,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
19,H2H 4-3,Ivan Ljubicic,9.0,4.0,6010085.0,159342.0,,8.0,Ivan Ljubicic,,6.0,3.0,120.0,42.0,122.0,83.0,58.0,39.0,15.0,,,196.0,162.0,223.0,2.0,,21.0,42.0,8.00,1.12,R32,6-4 4-6 6-1 7-6(4),Andy Murray,15.0,7.0,6010085.0,159341.0,,1.12,Andy Murray,,12.0,5.0,122.0,49.0,120.0,73.0,57.0,47.0,21.0,,,193.0,149.0,215.0,1.0,,14.0,51.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
20,H2H 6-0,Simone Bolelli,0.0,0.0,6010086.0,159334.0,,7.6,Simone Bolelli,,4.0,1.0,84.0,24.0,78.0,47.0,26.0,31.0,17.0,,,,,,2.0,,35.0,25.0,7.60,1.13,R32,6-3 6-2 6-4,Richard Gasquet,12.0,1.0,6010086.0,159333.0,,1.13,Richard Gasquet,,9.0,5.0,78.0,35.0,84.0,60.0,46.0,24.0,14.0,,,,,,1.0,,18.0,35.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
21,H2H 1-1,Gael Monfils,17.0,6.0,6010087.0,159355.0,,1.27,Gael Monfils,,9.0,3.0,123.0,48.0,101.0,64.0,50.0,37.0,13.0,,,188.0,160.0,215.0,1.0,,14.0,42.0,1.27,4.40,R32,6-3 3-6 6-3 6-3,Lukasz Kubot,4.0,6.0,6010087.0,159356.0,,4.4,Lukasz Kubot,,9.0,6.0,101.0,38.0,123.0,73.0,48.0,50.0,27.0,,,185.0,168.0,205.0,2.0,,25.0,50.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
22,H2H 1-7,Andy Roddick,23.0,6.0,6010088.0,159336.0,,1.34,Andy Roddick,,4.0,1.0,106.0,29.0,109.0,69.0,54.0,40.0,20.0,,,196.0,173.0,230.0,2.0,,16.0,40.0,1.34,3.65,R32,7-6(2) 7-6(2) 6-4,Feliciano Lopez,28.0,3.0,6010088.0,159335.0,,3.65,Feliciano Lopez,,6.0,2.0,109.0,35.0,106.0,70.0,57.0,36.0,20.0,,,194.0,167.0,217.0,1.0,,7.0,57.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
23,H2H 3-0,Karol Beck,4.0,3.0,6010089.0,782259.0,,8.0,Karol Beck,,6.0,1.0,86.0,26.0,98.0,53.0,35.0,45.0,19.0,,,176.0,141.0,199.0,2.0,,23.0,30.0,8.00,1.12,R32,6-4 6-3 6-3,David Ferrer,3.0,1.0,6010089.0,782258.0,,1.12,David Ferrer,,11.0,5.0,98.0,44.0,86.0,60.0,43.0,26.0,17.0,,,178.0,144.0,193.0,1.0,,15.0,26.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
24,H2H 1-1,Fernando Gonzalez,3.0,0.0,6010090.0,159357.0,,4.0,Fernando Gonzalez,,3.0,0.0,72.0,13.0,76.0,46.0,35.0,30.0,14.0,,,168.0,149.0,197.0,1.0,,9.0,21.0,4.00,1.30,R32,6-3 6-4 6-3,Jo-Wilfried Tsonga,29.0,3.0,6010090.0,159358.0,,1.3,Jo-Wilfried Tsonga,,8.0,4.0,76.0,27.0,72.0,56.0,50.0,16.0,9.0,,,185.0,146.0,207.0,2.0,,13.0,48.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
25,H2H 5-0,Nicolas Almagro,8.0,4.0,6010091.0,159359.0,,2.5,Nicolas Almagro,,11.0,1.0,128.0,32.0,122.0,68.0,55.0,54.0,26.0,,,189.0,154.0,210.0,1.0,,20.0,44.0,2.50,1.61,R32,4-6 6-3 7-6(3) 6-3,Mikhail Youzhny,18.0,3.0,6010091.0,159360.0,,1.61,Mikhail Youzhny,,7.0,2.0,122.0,41.0,128.0,92.0,78.0,36.0,18.0,,,178.0,151.0,191.0,2.0,,19.0,60.0,2011-06-20,https://matchstat.com/tennis/tournaments/m/Wimbledon/2011,Wimbledon
