,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 1-2,Sam Querrey,12.0,1.0,6169516.0,198419.0,,1.51,Sam Querrey,71.0,4.0,2.0,73.0,23.0,78.0,45.0,30.0,33.0,18.0,,,,,,1.0,151.0,,,1.51,2.80,SF,6-2 4-6 6-3,Jurgen Melzer,6.0,3.0,6169516.0,198420.0,,2.8,Jurgen Melzer,80.0,9.0,5.0,78.0,30.0,73.0,49.0,38.0,24.0,12.0,,,,,,2.0,151.0,,,2013-08-19,https://matchstat.com/tennis/tournaments/m/Winston-Salem/2013,Winston-Salem
1,H2H 3-0,Alexandr Dolgopolov,9.0,6.0,6169515.0,198418.0,,2.66,Alexandr Dolgopolov,80.0,5.0,2.0,81.0,31.0,87.0,39.0,30.0,48.0,19.0,,,,,,2.0,168.0,,,2.66,1.55,SF,7-6(9) 6-3,Gael Monfils,6.0,5.0,6169515.0,198417.0,,1.55,Gael Monfils,88.0,13.0,4.0,87.0,38.0,81.0,53.0,36.0,28.0,14.0,,,,,,1.0,168.0,,,2013-08-19,https://matchstat.com/tennis/tournaments/m/Winston-Salem/2013,Winston-Salem
2,H2H 2-0,Ricardas Berankis,4.0,5.0,6167864.0,198405.0,,3.05,Ricardas Berankis,55.0,10.0,2.0,63.0,23.0,62.0,36.0,20.0,26.0,12.0,,,,,,1.0,125.0,,,3.05,1.44,QF,6-3 6-4,Sam Querrey,10.0,5.0,6167864.0,198406.0,,1.444,Sam Querrey,70.0,6.0,4.0,62.0,30.0,63.0,34.0,24.0,29.0,16.0,,,,,,2.0,125.0,,,2013-08-19,https://matchstat.com/tennis/tournaments/m/Winston-Salem/2013,Winston-Salem
3,H2H 3-3,Dmitry Tursunov,8.0,4.0,6167865.0,198363.0,,1.63,Dmitry Tursunov,57.0,4.0,1.0,59.0,22.0,62.0,37.0,25.0,25.0,10.0,,,,,,1.0,121.0,,,1.63,2.46,QF,6-4 6-3,Jurgen Melzer,2.0,2.0,6167865.0,198364.0,,2.46,Jurgen Melzer,64.0,8.0,4.0,62.0,27.0,59.0,43.0,31.0,16.0,6.0,,,,,,2.0,121.0,,,2013-08-19,https://matchstat.com/tennis/tournaments/m/Winston-Salem/2013,Winston-Salem
4,H2H 3-0,Fernando Verdasco,11.0,12.0,6167866.0,198361.0,,2.32,Fernando Verdasco,101.0,10.0,1.0,99.0,26.0,121.0,63.0,45.0,58.0,30.0,,,,,,1.0,220.0,,,2.32,1.70,QF,6-7(8) 6-4 6-4,Gael Monfils,7.0,1.0,6167866.0,198362.0,,1.7,Gael Monfils,119.0,10.0,3.0,121.0,46.0,99.0,70.0,53.0,29.0,20.0,,,,,,2.0,220.0,,,2013-08-19,https://matchstat.com/tennis/tournaments/m/Winston-Salem/2013,Winston-Salem
5,H2H 5-0,Yen-Hsun Lu,5.0,5.0,6169355.0,198360.0,,2.52,Yen-Hsun Lu,66.0,3.0,1.0,67.0,19.0,76.0,47.0,36.0,29.0,11.0,,,,,,2.0,143.0,,,2.52,1.60,QF,7-6(2) 6-3,Alexandr Dolgopolov,9.0,3.0,6169355.0,198359.0,,1.6,Alexandr Dolgopolov,77.0,7.0,2.0,76.0,29.0,67.0,32.0,27.0,35.0,21.0,,,,,,1.0,143.0,,,2013-08-19,https://matchstat.com/tennis/tournaments/m/Winston-Salem/2013,Winston-Salem
6,H2H 1-2,Roberto Bautista Agut,5.0,2.0,6167856.0,784409.0,,1.533,Roberto Bautista Agut,55.0,3.0,0.0,60.0,19.0,61.0,33.0,21.0,28.0,15.0,,,,,,2.0,121.0,,,1.53,2.64,R16,6-3 6-3,Ricardas Berankis,2.0,3.0,6167856.0,784408.0,,2.64,Ricardas Berankis,66.0,8.0,3.0,61.0,25.0,60.0,35.0,26.0,25.0,15.0,,,,,,1.0,121.0,,,2013-08-19,https://matchstat.com/tennis/tournaments/m/Winston-Salem/2013,Winston-Salem
7,H2H 2-0,Jarkko Nieminen,6.0,2.0,6167857.0,198313.0,,2.48,Jarkko Nieminen,109.0,5.0,2.0,105.0,29.0,120.0,99.0,68.0,21.0,12.0,,,,,,1.0,225.0,,,2.48,1.59,R16,4-6 7-6(4) 7-6(10),Sam Querrey,19.0,2.0,6167857.0,198314.0,,1.59,Sam Querrey,116.0,4.0,1.0,120.0,40.0,105.0,62.0,51.0,43.0,25.0,,,,,,2.0,225.0,,,2013-08-19,https://matchstat.com/tennis/tournaments/m/Winston-Salem/2013,Winston-Salem
8,H2H 3-2,Alex Bogomolov Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-3 7-5,Dmitry Tursunov,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-08-19,https://matchstat.com/tennis/tournaments/m/Winston-Salem/2013,Winston-Salem
9,H2H 1-0,Benoit Paire,6.0,2.0,6167859.0,198316.0,,1.56,Benoit Paire,56.0,9.0,2.0,64.0,23.0,59.0,30.0,21.0,29.0,12.0,,,,,,2.0,123.0,,,1.56,2.56,R16,6-4 6-3,Jurgen Melzer,1.0,4.0,6167859.0,198315.0,,2.56,Jurgen Melzer,67.0,10.0,4.0,59.0,26.0,64.0,38.0,26.0,26.0,15.0,,,,,,1.0,123.0,,,2013-08-19,https://matchstat.com/tennis/tournaments/m/Winston-Salem/2013,Winston-Salem
