,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 1-0,Mario Ancic,4.0,1.0,5854670.0,130873.0,,2.7,Mario Ancic,54.0,12.0,2.0,69.0,25.0,54.0,34.0,19.0,20.0,10.0,,,,,,1.0,123.0,,,2.70,1.56,F,6-3 6-4,Marin Cilic,5.0,2.0,5854670.0,130874.0,,1.556,Marin Cilic,69.0,6.0,4.0,54.0,25.0,69.0,29.0,18.0,40.0,26.0,,,,,,2.0,123.0,,,2009-02-02,https://matchstat.com/tennis/tournaments/m/Zagreb/2009,Zagreb
1,H2H 5-0,Jan Hernych,4.0,4.0,5854668.0,130504.0,,4.25,Jan Hernych,114.0,11.0,3.0,124.0,43.0,118.0,83.0,54.0,35.0,17.0,,,,,,2.0,242.0,,,4.25,1.28,SF,6-7(4) 6-3 7-6(9),Mario Ancic,12.0,0.0,5854668.0,130503.0,,1.282,Mario Ancic,128.0,7.0,4.0,118.0,47.0,124.0,84.0,67.0,40.0,14.0,,,,,,1.0,242.0,,,2009-02-02,https://matchstat.com/tennis/tournaments/m/Zagreb/2009,Zagreb
2,H2H 5-5,Viktor Troicki,3.0,1.0,5854669.0,130505.0,,3.35,Viktor Troicki,52.0,0.0,0.0,47.0,7.0,80.0,52.0,31.0,28.0,14.0,,,,,,1.0,127.0,,,3.35,1.39,SF,6-2 7-5,Marin Cilic,6.0,1.0,5854669.0,130506.0,,1.392,Marin Cilic,75.0,10.0,3.0,80.0,35.0,47.0,25.0,22.0,22.0,18.0,,,,,,2.0,127.0,,,2009-02-02,https://matchstat.com/tennis/tournaments/m/Zagreb/2009,Zagreb
3,H2H 1-0,Ivan Dodig,5.0,4.0,5854664.0,130495.0,,6.0,Ivan Dodig,40.0,2.0,0.0,45.0,11.0,56.0,31.0,18.0,25.0,11.0,,,,,,1.0,101.0,,,6.00,1.18,QF,6-1 6-3,Mario Ancic,6.0,0.0,5854664.0,130496.0,,1.182,Mario Ancic,61.0,7.0,4.0,56.0,27.0,45.0,33.0,25.0,12.0,9.0,,,,,,2.0,101.0,,,2009-02-02,https://matchstat.com/tennis/tournaments/m/Zagreb/2009,Zagreb
4,H2H 3-1,Mischa Zverev,1.0,0.0,5854665.0,130498.0,,1.833,Mischa Zverev,23.0,0.0,0.0,19.0,3.0,33.0,16.0,10.0,17.0,10.0,,,,,,2.0,52.0,,,1.83,2.10,QF,5-4 Retired,Jan Hernych,0.0,0.0,5854665.0,130497.0,,2.1,Jan Hernych,29.0,5.0,1.0,33.0,13.0,19.0,14.0,12.0,5.0,4.0,,,,,,1.0,52.0,,,2009-02-02,https://matchstat.com/tennis/tournaments/m/Zagreb/2009,Zagreb
5,H2H 4-2,Sergiy Stakhovsky,3.0,0.0,5854666.0,130500.0,,2.28,Sergiy Stakhovsky,50.0,3.0,0.0,51.0,15.0,65.0,47.0,29.0,18.0,6.0,,,,,,2.0,116.0,,,2.28,1.73,QF,6-3 6-2,Viktor Troicki,5.0,1.0,5854666.0,130499.0,,1.725,Viktor Troicki,66.0,8.0,4.0,65.0,30.0,51.0,35.0,27.0,16.0,9.0,,,,,,1.0,116.0,,,2009-02-02,https://matchstat.com/tennis/tournaments/m/Zagreb/2009,Zagreb
6,H2H 1-0,Antonio Veic,3.0,4.0,5854667.0,130501.0,,10.0,Antonio Veic,64.0,1.0,1.0,64.0,19.0,78.0,42.0,29.0,36.0,16.0,,,,,,1.0,142.0,,,10.00,1.09,QF,6-2 7-6(6),Marin Cilic,4.0,1.0,5854667.0,130502.0,,1.091,Marin Cilic,78.0,13.0,3.0,78.0,33.0,64.0,31.0,26.0,33.0,19.0,,,,,,2.0,142.0,,,2009-02-02,https://matchstat.com/tennis/tournaments/m/Zagreb/2009,Zagreb
7,H2H 3-1,Ernests Gulbis,9.0,6.0,5854656.0,130458.0,,1.154,Ernests Gulbis,73.0,4.0,1.0,74.0,25.0,80.0,47.0,32.0,33.0,16.0,,,,,,2.0,154.0,,,1.15,6.90,R16,7-6(3) 6-4,Ivan Dodig,8.0,1.0,5854656.0,130457.0,,6.9,Ivan Dodig,81.0,5.0,2.0,80.0,32.0,74.0,43.0,30.0,31.0,19.0,,,,,,1.0,154.0,,,2009-02-02,https://matchstat.com/tennis/tournaments/m/Zagreb/2009,Zagreb
8,H2H 2-0,Teymuraz Gabashvili,3.0,5.0,5854657.0,130459.0,,3.05,Teymuraz Gabashvili,32.0,0.0,0.0,42.0,11.0,50.0,28.0,16.0,22.0,5.0,,,,,,1.0,92.0,,,3.05,1.44,R16,6-1 6-1,Mario Ancic,6.0,2.0,5854657.0,130460.0,,1.444,Mario Ancic,60.0,9.0,5.0,50.0,29.0,42.0,18.0,15.0,24.0,16.0,,,,,,2.0,92.0,,,2009-02-02,https://matchstat.com/tennis/tournaments/m/Zagreb/2009,Zagreb
9,H2H 2-3,Paul-Henri Mathieu,3.0,0.0,5854658.0,130461.0,,1.333,Paul-Henri Mathieu,93.0,6.0,1.0,97.0,29.0,103.0,52.0,38.0,51.0,26.0,,,,,,1.0,200.0,,,1.33,3.70,R16,6-7(7) 6-4 6-2,Jan Hernych,2.0,4.0,5854658.0,130462.0,,3.7,Jan Hernych,107.0,8.0,4.0,103.0,39.0,97.0,60.0,46.0,37.0,22.0,,,,,,2.0,200.0,,,2009-02-02,https://matchstat.com/tennis/tournaments/m/Zagreb/2009,Zagreb
