,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 4-0,Kristina Mladenovic,2.0,3.0,8398937.0,3560181.0,,2.35,Kristina Mladenovic,60.0,3.0,1.0,61.0,16.0,66.0,42.0,30.0,24.0,14.0,12.0,,,,,1.0,130.0,,,2.35,1.61,F,7-5 7-5,grass,Coco Vandeweghe,7.0,1.0,8398937.0,3560182.0,,1.61,Coco Vandeweghe,70.0,7.0,3.0,69.0,25.0,60.0,37.0,30.0,23.0,15.0,12.0,,,,,2.0,130.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/%27s-Hertogenbosch/2016,'s-Hertogenbosch
1,H2H 1-1,Belinda Bencic,2.0,1.0,8397959.0,3559673.0,,1.571,Belinda Bencic,90.0,17.0,2.0,107.0,42.0,74.0,53.0,37.0,21.0,11.0,13.0,,,,,1.0,182.0,,,1.57,2.38,SF,2-6 6-3 6-4,grass,Kristina Mladenovic,15.0,6.0,8397959.0,3559674.0,,2.375,Kristina Mladenovic,92.0,5.0,2.0,75.0,27.0,101.0,68.0,51.0,33.0,14.0,14.0,,,,,2.0,182.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/%27s-Hertogenbosch/2016,'s-Hertogenbosch
2,H2H 3-3,Madison Brengle,2.0,0.0,8397960.0,3559665.0,,3.0,Madison Brengle,53.0,4.0,0.0,56.0,15.0,64.0,54.0,32.0,10.0,6.0,9.0,,,,,1.0,120.0,,,3.00,1.36,SF,6-4 6-2,grass,Coco Vandeweghe,8.0,2.0,8397960.0,3559666.0,,1.364,Coco Vandeweghe,67.0,13.0,3.0,64.0,26.0,54.0,33.0,27.0,21.0,14.0,9.0,,,,,2.0,120.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/%27s-Hertogenbosch/2016,'s-Hertogenbosch
3,H2H 1-0,Viktorija Golubic,1.0,5.0,8397595.0,3559430.0,,3.0,Viktorija Golubic,96.0,10.0,4.0,92.0,42.0,97.0,70.0,43.0,27.0,11.0,12.0,,,,,2.0,194.0,,,3.00,1.33,QF,7-6(6) 7-6(2),grass,Belinda Bencic,0.0,6.0,8397595.0,3559429.0,,1.333,Belinda Bencic,98.0,7.0,4.0,102.0,48.0,86.0,60.0,38.0,26.0,12.0,12.0,,,,,1.0,194.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/%27s-Hertogenbosch/2016,'s-Hertogenbosch
4,H2H 1-0,Elise Mertens,3.0,8.0,8397398.0,3559106.0,,3.35,Elise Mertens,54.0,3.0,2.0,62.0,21.0,53.0,34.0,24.0,19.0,9.0,10.0,,,,,2.0,123.0,,,3.35,1.30,QF,7-5 6-3,grass,Kristina Mladenovic,3.0,2.0,8397398.0,3559105.0,,1.3,Kristina Mladenovic,69.0,6.0,4.0,61.0,28.0,60.0,36.0,23.0,24.0,18.0,11.0,,,,,1.0,123.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/%27s-Hertogenbosch/2016,'s-Hertogenbosch
5,H2H 2-0,Kateryna Kozlova,1.0,4.0,8397399.0,3559412.0,,2.25,Kateryna Kozlova,64.0,5.0,1.0,69.0,23.0,63.0,42.0,31.0,21.0,10.0,11.0,,,,,2.0,136.0,,,2.25,1.57,QF,7-5 6-4,grass,Madison Brengle,2.0,0.0,8397399.0,3559411.0,,1.57,Madison Brengle,72.0,4.0,3.0,67.0,26.0,69.0,49.0,31.0,20.0,15.0,11.0,,,,,1.0,136.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/%27s-Hertogenbosch/2016,'s-Hertogenbosch
6,H2H 1-0,Evgeniya Rodina,2.0,3.0,8397451.0,3559398.0,,5.5,Evgeniya Rodina,38.0,0.0,0.0,42.0,9.0,53.0,45.0,26.0,8.0,3.0,8.0,,,,,2.0,98.0,,,5.50,1.14,QF,6-2 6-2,grass,Coco Vandeweghe,7.0,1.0,8397451.0,3559397.0,,1.14,Coco Vandeweghe,60.0,7.0,4.0,56.0,27.0,41.0,28.0,22.0,13.0,11.0,8.0,,,,,1.0,98.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/%27s-Hertogenbosch/2016,'s-Hertogenbosch
7,H2H 1-0,Varvara Lepchenko,3.0,6.0,8397215.0,3558450.0,,3.25,Varvara Lepchenko,82.0,7.0,2.0,83.0,29.0,87.0,63.0,40.0,24.0,13.0,13.0,,,,,2.0,176.0,,,3.25,1.34,R16,3-6 6-3 6-2,grass,Belinda Bencic,3.0,6.0,8397215.0,3558449.0,,1.34,Belinda Bencic,94.0,16.0,4.0,93.0,40.0,77.0,48.0,34.0,29.0,20.0,13.0,,,,,1.0,176.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/%27s-Hertogenbosch/2016,'s-Hertogenbosch
8,H2H 2-0,Risa Ozaki,0.0,3.0,8397216.0,3558447.0,,2.95,Risa Ozaki,47.0,3.0,2.0,57.0,22.0,45.0,33.0,18.0,12.0,7.0,9.0,,,,,1.0,105.0,,,2.95,1.40,R16,6-4 6-2,grass,Viktorija Golubic,0.0,3.0,8397216.0,3558448.0,,1.4,Viktorija Golubic,58.0,8.0,5.0,48.0,23.0,54.0,40.0,25.0,14.0,10.0,9.0,,,,,2.0,105.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/%27s-Hertogenbosch/2016,'s-Hertogenbosch
9,H2H 1-0,Natalia Vikhlyantseva,4.0,8.0,8394980.0,3558456.0,,3.0,Natalia Vikhlyantseva,90.0,12.0,4.0,100.0,38.0,82.0,57.0,39.0,25.0,13.0,16.0,,,,,2.0,190.0,,,3.00,1.38,R16,5-7 6-3 6-4,grass,Kristina Mladenovic,8.0,2.0,8394980.0,3558455.0,,1.38,Kristina Mladenovic,100.0,7.0,6.0,90.0,38.0,98.0,72.0,47.0,26.0,15.0,15.0,,,,,1.0,190.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/%27s-Hertogenbosch/2016,'s-Hertogenbosch
