,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 3-1,Julia Goerges,6.0,2.0,8346502.0,3508905.0,,,Julia Goerges,51.0,2.0,0.0,57.0,14.0,57.0,35.0,26.0,22.0,11.0,10.0,,,,,1.0,116.0,,,,,F,7-5 6-2,Sloane Stephens,1.0,0.0,8346502.0,3508906.0,,,Sloane Stephens,65.0,6.0,3.0,59.0,22.0,57.0,36.0,28.0,21.0,15.0,10.0,,,,,2.0,116.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/w/Auckland/2016,Auckland
1,H2H 3-2,Tamira Paszek,0.0,0.0,8346349.0,3508474.0,,2.5,Tamira Paszek,36.0,1.0,1.0,46.0,12.0,44.0,27.0,19.0,17.0,5.0,9.0,,,,,2.0,90.0,,,2.50,1.53,SF,6-4 6-2,Julia Goerges,7.0,1.0,8346349.0,3508473.0,,1.53,Julia Goerges,54.0,6.0,4.0,44.0,20.0,45.0,26.0,22.0,19.0,12.0,9.0,,,,,1.0,90.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/w/Auckland/2016,Auckland
2,H2H 1-5,Caroline Wozniacki,1.0,3.0,8346350.0,3508495.0,,1.34,Caroline Wozniacki,65.0,7.0,1.0,75.0,27.0,65.0,43.0,26.0,22.0,12.0,10.0,,,,,1.0,143.0,,,1.34,3.25,SF,6-2 7-6(3),Sloane Stephens,5.0,1.0,8346350.0,3508496.0,,3.25,Sloane Stephens,78.0,7.0,3.0,68.0,30.0,74.0,60.0,40.0,14.0,8.0,10.0,,,,,2.0,143.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/w/Auckland/2016,Auckland
3,H2H 2-0,Nao Hibino,4.0,2.0,8346278.0,3508251.0,,2.95,Nao Hibino,80.0,0.0,0.0,83.0,21.0,89.0,61.0,44.0,28.0,15.0,15.0,,,,,1.0,174.0,,,2.95,1.38,QF,6-7(3) 6-2 6-4,Julia Goerges,7.0,3.0,8346278.0,3508252.0,,1.38,Julia Goerges,94.0,5.0,3.0,91.0,32.0,80.0,45.0,41.0,35.0,21.0,15.0,,,,,2.0,174.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/w/Auckland/2016,Auckland
4,H2H 1-1,Kirsten Flipkens,5.0,8.0,8346279.0,3508250.0,,1.63,Kirsten Flipkens,111.0,17.0,5.0,138.0,61.0,90.0,60.0,32.0,30.0,18.0,15.0,,,,,2.0,236.0,,,1.63,2.20,QF,6-4 6-7(3) 6-3,Tamira Paszek,6.0,8.0,8346279.0,3508249.0,,2.2,Tamira Paszek,125.0,14.0,7.0,98.0,48.0,130.0,88.0,55.0,42.0,22.0,16.0,,,,,1.0,236.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/w/Auckland/2016,Auckland
5,H2H 4-0,Alexandra Dulgheru,0.0,5.0,8346280.0,3508291.0,,8.5,Alexandra Dulgheru,19.0,2.0,0.0,37.0,8.0,30.0,24.0,8.0,6.0,3.0,6.0,,,,,1.0,72.0,,,8.50,1.05,QF,6-1 6-0,Caroline Wozniacki,1.0,0.0,8346280.0,3508292.0,,1.05,Caroline Wozniacki,53.0,6.0,5.0,35.0,24.0,37.0,24.0,20.0,13.0,9.0,7.0,,,,,2.0,72.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/w/Auckland/2016,Auckland
6,H2H 2-1,Naomi Broady,3.0,3.0,8346281.0,3508248.0,,4.35,Naomi Broady,73.0,7.0,1.0,83.0,28.0,68.0,36.0,27.0,32.0,18.0,10.0,,,,,2.0,154.0,,,4.35,1.20,QF,7-6(6) 6-3,Sloane Stephens,3.0,1.0,8346281.0,3508247.0,,1.2,Sloane Stephens,81.0,8.0,2.0,71.0,26.0,82.0,49.0,36.0,33.0,19.0,11.0,,,,,1.0,154.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/w/Auckland/2016,Auckland
7,H2H 1-0,Daria Kasatkina,2.0,3.0,8346109.0,3508073.0,,1.37,Daria Kasatkina,97.0,16.0,5.0,107.0,45.0,82.0,64.0,44.0,18.0,8.0,16.0,,,,,1.0,192.0,,,1.37,3.00,R16,7-5 2-6 7-5,Nao Hibino,3.0,7.0,8346109.0,3508074.0,,3.0,Nao Hibino,95.0,7.0,5.0,85.0,33.0,100.0,70.0,45.0,30.0,17.0,16.0,,,,,2.0,192.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/w/Auckland/2016,Auckland
8,H2H 4-3,Barbora Strycova,1.0,4.0,8346228.0,3508042.0,,1.8,Barbora Strycova,77.0,11.0,3.0,75.0,30.0,79.0,63.0,37.0,16.0,10.0,11.0,,,,,2.0,158.0,,,1.80,1.95,R16,6-4 7-6(7),Julia Goerges,5.0,3.0,8346228.0,3508041.0,,1.95,Julia Goerges,81.0,10.0,4.0,83.0,36.0,72.0,46.0,34.0,26.0,11.0,11.0,,,,,1.0,158.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/w/Auckland/2016,Auckland
9,H2H 1-2,Svetlana Kuznetsova,2.0,2.0,8346110.0,3508037.0,,1.31,Svetlana Kuznetsova,58.0,12.0,1.0,74.0,28.0,56.0,37.0,25.0,19.0,5.0,8.0,,,,,1.0,132.0,,,1.31,3.30,R16,6-2 6-3,Tamira Paszek,3.0,4.0,8346110.0,3508038.0,,3.3,Tamira Paszek,74.0,9.0,4.0,58.0,28.0,70.0,42.0,31.0,28.0,15.0,9.0,,,,,2.0,132.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/w/Auckland/2016,Auckland
