,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 3-1,Barbora Strycova,3.0,1.0,8402344.0,3563613.0,,2.5,Barbora Strycova,51.0,4.0,0.0,65.0,17.0,55.0,34.0,19.0,21.0,15.0,9.0,,,,,1.0,121.0,,,2.50,1.50,F,6-3 6-4,grass,Madison Keys,2.0,4.0,8402344.0,3563614.0,,1.5,Madison Keys,70.0,7.0,2.0,56.0,22.0,61.0,44.0,36.0,17.0,12.0,10.0,,,,,2.0,121.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
1,H2H 2-1,Coco Vandeweghe,6.0,2.0,8401240.0,3563313.0,,1.63,Coco Vandeweghe,86.0,12.0,5.0,93.0,40.0,82.0,55.0,33.0,27.0,13.0,13.0,,,,,1.0,177.0,,,1.63,2.28,SF,2-6 6-4 6-3,grass,Barbora Strycova,3.0,1.0,8401240.0,3563314.0,,2.28,Barbora Strycova,91.0,9.0,5.0,84.0,38.0,92.0,71.0,40.0,21.0,13.0,14.0,,,,,2.0,177.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
2,H2H 2-0,Carla Suarez Navarro,1.0,3.0,8401241.0,3563316.0,,2.85,Carla Suarez Navarro,80.0,2.0,2.0,81.0,19.0,86.0,65.0,47.0,21.0,14.0,15.0,,,,,2.0,170.0,,,2.85,1.42,SF,3-6 6-3 7-6(3),grass,Madison Keys,12.0,0.0,8401241.0,3563315.0,,1.42,Madison Keys,90.0,3.0,2.0,89.0,28.0,81.0,63.0,49.0,18.0,13.0,15.0,,,,,1.0,170.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
3,H2H 3-0,Yanina Wickmayer,3.0,1.0,8401109.0,3563218.0,,3.1,Yanina Wickmayer,40.0,4.0,2.0,48.0,16.0,49.0,38.0,19.0,11.0,5.0,9.0,,,,,2.0,98.0,,,3.10,1.37,QF,6-4 6-2,grass,Coco Vandeweghe,4.0,2.0,8401109.0,3563217.0,,1.37,Coco Vandeweghe,58.0,10.0,5.0,50.0,26.0,46.0,28.0,22.0,18.0,10.0,9.0,,,,,1.0,98.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
4,H2H 3-3,Tsvetana Pironkova,2.0,5.0,8400983.0,3563215.0,,2.2,Tsvetana Pironkova,68.0,5.0,1.0,68.0,25.0,74.0,46.0,32.0,28.0,11.0,10.0,,,,,1.0,147.0,,,2.20,1.60,QF,6-2 7-5,grass,Barbora Strycova,1.0,1.0,8400983.0,3563216.0,,1.6,Barbora Strycova,79.0,9.0,4.0,79.0,36.0,67.0,51.0,34.0,16.0,9.0,10.0,,,,,2.0,147.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
5,H2H 1-0,Jelena Ostapenko,5.0,8.0,8400984.0,3562940.0,,3.3,Jelena Ostapenko,91.0,7.0,3.0,96.0,35.0,88.0,58.0,41.0,30.0,15.0,15.0,,,,,2.0,192.0,,,3.30,1.34,QF,6-7(1) 6-4 6-2,grass,Madison Keys,6.0,2.0,8400984.0,3562939.0,,1.34,Madison Keys,101.0,12.0,6.0,96.0,40.0,94.0,67.0,47.0,27.0,14.0,15.0,,,,,1.0,192.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
6,H2H 3-4,Angelique Kerber,1.0,0.0,8401110.0,3563214.0,,1.25,Angelique Kerber,94.0,13.0,6.0,97.0,43.0,94.0,66.0,39.0,28.0,12.0,14.0,,,,,2.0,191.0,,,1.25,4.00,QF,6-4 1-6 7-5,grass,Carla Suarez Navarro,1.0,2.0,8401110.0,3563213.0,,4.0,Carla Suarez Navarro,97.0,12.0,5.0,94.0,43.0,95.0,69.0,38.0,26.0,16.0,15.0,,,,,1.0,191.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
7,H2H 2-2,Christina McHale,1.0,5.0,8400796.0,3562578.0,,2.75,Christina McHale,62.0,4.0,2.0,63.0,20.0,65.0,44.0,28.0,21.0,14.0,11.0,,,,,2.0,133.0,,,2.75,1.40,R16,6-3 7-6(2),grass,Coco Vandeweghe,5.0,2.0,8400796.0,3562577.0,,1.4,Coco Vandeweghe,71.0,7.0,4.0,70.0,28.0,61.0,31.0,24.0,30.0,19.0,10.0,,,,,1.0,133.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
8,H2H 1-2,Johanna Konta,3.0,3.0,8401108.0,3563208.0,,,Johanna Konta,51.0,4.0,3.0,57.0,25.0,53.0,34.0,18.0,19.0,8.0,9.0,,,,,2.0,113.0,,,,,R16,6-3 6-3,grass,Yanina Wickmayer,5.0,3.0,8401108.0,3563207.0,,,Yanina Wickmayer,62.0,11.0,6.0,56.0,30.0,54.0,36.0,23.0,18.0,9.0,9.0,,,,,1.0,113.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
9,H2H 3-2,Irina-Camelia Begu,3.0,5.0,8400492.0,3562481.0,,2.8,Irina-Camelia Begu,51.0,2.0,1.0,49.0,16.0,62.0,43.0,29.0,19.0,6.0,9.0,,,,,1.0,116.0,,,2.80,1.43,R16,6-3 6-3,grass,Tsvetana Pironkova,1.0,1.0,8400492.0,3562482.0,,1.43,Tsvetana Pironkova,65.0,9.0,4.0,67.0,32.0,48.0,27.0,22.0,21.0,11.0,9.0,,,,,2.0,116.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
10,H2H 3-1,Heather Watson,2.0,2.0,8400286.0,3561891.0,,2.6,Heather Watson,67.0,5.0,1.0,75.0,28.0,61.0,37.0,27.0,24.0,12.0,11.0,,,,,1.0,138.0,,,2.60,1.50,R16,7-5 6-4,grass,Barbora Strycova,8.0,1.0,8400286.0,3561892.0,,1.5,Barbora Strycova,71.0,6.0,3.0,63.0,24.0,74.0,53.0,33.0,21.0,14.0,11.0,,,,,2.0,138.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
11,H2H 2-0,Tamira Paszek,1.0,2.0,8400253.0,3562480.0,,3.55,Tamira Paszek,43.0,1.0,0.0,54.0,18.0,47.0,33.0,17.0,14.0,8.0,8.0,,,,,2.0,103.0,,,3.55,1.30,R16,6-1 6-3,grass,Madison Keys,8.0,1.0,8400253.0,3562479.0,,1.3,Madison Keys,60.0,8.0,4.0,49.0,24.0,53.0,40.0,28.0,13.0,8.0,8.0,,,,,1.0,103.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
12,H2H 2-0,Petra Kvitova,2.0,2.0,8400287.0,3561726.0,,1.27,Petra Kvitova,92.0,12.0,3.0,103.0,44.0,83.0,55.0,34.0,28.0,14.0,15.0,,,,,2.0,188.0,,,1.27,3.60,R16,6-4 4-6 6-3,grass,Jelena Ostapenko,8.0,6.0,8400287.0,3561725.0,,3.6,Jelena Ostapenko,96.0,8.0,5.0,85.0,37.0,97.0,59.0,38.0,38.0,21.0,14.0,,,,,1.0,188.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
13,H2H 5-2,Andrea Petkovic,2.0,4.0,8400591.0,3562472.0,,1.95,Andrea Petkovic,122.0,12.0,6.0,115.0,50.0,122.0,86.0,53.0,36.0,19.0,17.0,,,,,2.0,241.0,,,1.95,1.87,R16,4-6 7-6(5) 7-6(5),grass,Carla Suarez Navarro,6.0,8.0,8400591.0,3562471.0,,1.87,Carla Suarez Navarro,119.0,14.0,5.0,126.0,54.0,107.0,75.0,52.0,32.0,13.0,17.0,,,,,1.0,241.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
14,H2H 5-0,Daria Gavrilova,5.0,5.0,8400592.0,3562473.0,,5.2,Daria Gavrilova,75.0,8.0,3.0,81.0,27.0,91.0,67.0,37.0,24.0,11.0,14.0,,,,,1.0,177.0,,,5.20,1.16,R16,5-7 6-2 6-2,grass,Angelique Kerber,4.0,4.0,8400592.0,3562474.0,,1.16,Angelique Kerber,102.0,15.0,6.0,96.0,48.0,77.0,55.0,42.0,22.0,12.0,14.0,,,,,2.0,177.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
15,H2H 1-4,Agnieszka Radwanska,6.0,3.0,8398737.0,3560469.0,,1.36,Agnieszka Radwanska,91.0,8.0,3.0,88.0,32.0,97.0,58.0,38.0,39.0,21.0,16.0,,,,,1.0,188.0,,,1.36,3.00,R32,7-5 4-6 6-3,grass,Coco Vandeweghe,5.0,2.0,8398737.0,3560470.0,,3.0,Coco Vandeweghe,97.0,15.0,5.0,100.0,41.0,86.0,45.0,33.0,41.0,23.0,15.0,,,,,2.0,188.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
16,H2H 1-1,Katerina Siniakova,2.0,3.0,8398738.0,3561500.0,,1.8,Katerina Siniakova,89.0,9.0,6.0,88.0,38.0,96.0,56.0,32.0,40.0,19.0,16.0,,,,,2.0,187.0,,,1.80,1.90,R32,5-7 6-4 6-3,grass,Christina McHale,3.0,5.0,8398738.0,3561499.0,,1.9,Christina McHale,98.0,14.0,8.0,99.0,48.0,83.0,59.0,34.0,24.0,16.0,15.0,,,,,1.0,187.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
17,H2H 3-6,Caroline Wozniacki,1.0,1.0,8398739.0,3560471.0,,1.36,Caroline Wozniacki,91.0,5.0,3.0,106.0,43.0,84.0,63.0,39.0,21.0,9.0,15.0,,,,,1.0,191.0,,,1.36,3.05,R32,6-4 6-7(5) 6-2,grass,Yanina Wickmayer,8.0,3.0,8398739.0,3560472.0,,3.05,Yanina Wickmayer,100.0,9.0,6.0,85.0,37.0,103.0,64.0,39.0,39.0,24.0,15.0,,,,,2.0,191.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
18,H2H 4-1,Misaki Doi,0.0,1.0,8398740.0,3560457.0,,5.0,Misaki Doi,53.0,3.0,1.0,64.0,19.0,57.0,43.0,27.0,14.0,7.0,9.0,,,,,1.0,122.0,,,5.00,1.16,R32,7-6(3) 6-1,grass,Johanna Konta,9.0,3.0,8398740.0,3560458.0,,1.16,Johanna Konta,69.0,6.0,3.0,58.0,24.0,61.0,43.0,31.0,18.0,14.0,10.0,,,,,2.0,122.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
19,H2H 1-0,Belinda Bencic,2.0,5.0,8398741.0,3560459.0,,1.36,Belinda Bencic,50.0,2.0,0.0,45.0,11.0,61.0,35.0,25.0,26.0,14.0,9.0,,,,,1.0,111.0,,,1.36,3.00,R32,6-4 4-3 Ret.,grass,Irina-Camelia Begu,10.0,2.0,8398741.0,3560460.0,,3.0,Irina-Camelia Begu,61.0,8.0,2.0,66.0,27.0,43.0,29.0,24.0,14.0,10.0,8.0,,,,,2.0,111.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
20,H2H 4-1,Lesia Tsurenko,1.0,4.0,8398742.0,3561228.0,,3.75,Lesia Tsurenko,44.0,5.0,3.0,55.0,23.0,47.0,33.0,16.0,14.0,5.0,9.0,,,,,2.0,106.0,,,3.75,1.27,R32,6-4 6-2,grass,Tsvetana Pironkova,1.0,1.0,8398742.0,3561227.0,,1.27,Tsvetana Pironkova,62.0,13.0,6.0,51.0,30.0,54.0,33.0,21.0,21.0,11.0,9.0,,,,,1.0,106.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
21,H2H 2-1,Camila Giorgi,7.0,10.0,8398743.0,3560461.0,,1.83,Camila Giorgi,62.0,6.0,0.0,65.0,16.0,64.0,45.0,38.0,19.0,8.0,11.0,,,,,1.0,139.0,,,1.83,1.83,R32,6-4 7-5,grass,Heather Watson,11.0,2.0,8398743.0,3560462.0,,1.83,Heather Watson,77.0,3.0,2.0,74.0,28.0,63.0,39.0,32.0,24.0,17.0,11.0,,,,,2.0,139.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
22,H2H 1-1,Karolina Pliskova,5.0,3.0,8398744.0,3560450.0,,1.56,Karolina Pliskova,85.0,9.0,3.0,89.0,39.0,83.0,56.0,37.0,27.0,9.0,11.0,,,,,2.0,175.0,,,1.56,2.40,R32,6-4 7-6(7),grass,Barbora Strycova,4.0,1.0,8398744.0,3560449.0,,2.4,Barbora Strycova,90.0,11.0,4.0,86.0,40.0,88.0,65.0,43.0,23.0,7.0,11.0,,,,,1.0,175.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
23,H2H 3-1,Timea Babos,4.0,4.0,8398745.0,3560452.0,,3.5,Timea Babos,65.0,3.0,2.0,69.0,22.0,71.0,37.0,25.0,34.0,18.0,11.0,,,,,2.0,144.0,,,3.50,1.28,R32,7-6(3) 6-4,grass,Madison Keys,7.0,4.0,8398745.0,3560451.0,,1.28,Madison Keys,79.0,8.0,3.0,75.0,32.0,65.0,38.0,31.0,27.0,16.0,11.0,,,,,1.0,144.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
