,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 1-1,Jelena Ostapenko,5.0,5.0,8359939.0,3522961.0,,3.2,Jelena Ostapenko,87.0,8.0,4.0,86.0,36.0,77.0,55.0,38.0,22.0,13.0,13.0,,,,,1.0,168.0,,,3.20,1.38,F,1-6 6-4 6-4,hard,Carla Suarez Navarro,0.0,2.0,8359939.0,3522962.0,,1.38,Carla Suarez Navarro,81.0,7.0,3.0,82.0,31.0,84.0,67.0,39.0,17.0,11.0,14.0,,,,,2.0,168.0,,,2016-02-22,https://matchstat.com/tennis/tournaments/w/Doha/2016,Doha
1,H2H 1-0,Andrea Petkovic,0.0,4.0,8359675.0,3522696.0,,1.48,Andrea Petkovic,47.0,9.0,2.0,57.0,26.0,41.0,25.0,15.0,16.0,6.0,7.0,,,,,2.0,102.0,,,1.48,2.55,SF,7-5 1-0 Ret.,hard,Jelena Ostapenko,1.0,2.0,8359675.0,3522695.0,,2.55,Jelena Ostapenko,55.0,11.0,4.0,45.0,24.0,55.0,29.0,17.0,26.0,14.0,6.0,,,,,1.0,102.0,,,2016-02-22,https://matchstat.com/tennis/tournaments/w/Doha/2016,Doha
2,H2H 2-3,Agnieszka Radwanska,1.0,0.0,8359676.0,3522719.0,,1.25,Agnieszka Radwanska,29.0,3.0,1.0,41.0,15.0,41.0,26.0,12.0,15.0,2.0,7.0,,,,,1.0,82.0,,,1.25,3.95,SF,6-2 6-0,hard,Carla Suarez Navarro,1.0,0.0,8359676.0,3522720.0,,3.95,Carla Suarez Navarro,53.0,7.0,6.0,41.0,27.0,41.0,25.0,17.0,16.0,9.0,7.0,,,,,2.0,82.0,,,2016-02-22,https://matchstat.com/tennis/tournaments/w/Doha/2016,Doha
3,H2H 1-0,Saisai Zheng,0.0,1.0,8359553.0,3522371.0,,1.83,Saisai Zheng,64.0,8.0,4.0,59.0,27.0,77.0,60.0,29.0,17.0,8.0,9.0,,,,,1.0,137.0,,,1.83,2.00,QF,6-4 6-3,hard,Jelena Ostapenko,1.0,3.0,8359553.0,3522372.0,,2.0,Jelena Ostapenko,73.0,16.0,6.0,78.0,41.0,56.0,37.0,19.0,19.0,13.0,10.0,,,,,2.0,137.0,,,2016-02-22,https://matchstat.com/tennis/tournaments/w/Doha/2016,Doha
4,H2H 3-0,Garbine Muguruza,6.0,3.0,8359554.0,3522369.0,,1.42,Garbine Muguruza,92.0,6.0,2.0,96.0,36.0,101.0,68.0,38.0,33.0,18.0,13.0,,,,,1.0,200.0,,,1.42,2.85,QF,6-1 5-7 6-2,hard,Andrea Petkovic,4.0,1.0,8359554.0,3522370.0,,2.85,Andrea Petkovic,108.0,15.0,5.0,104.0,48.0,95.0,61.0,41.0,34.0,19.0,14.0,,,,,2.0,200.0,,,2016-02-22,https://matchstat.com/tennis/tournaments/w/Doha/2016,Doha
5,H2H 8-2,Roberta Vinci,1.0,1.0,8359555.0,3522385.0,,3.45,Roberta Vinci,84.0,12.0,4.0,80.0,35.0,90.0,58.0,33.0,32.0,16.0,13.0,,,,,1.0,171.0,,,3.45,1.31,QF,3-6 6-2 6-3,hard,Agnieszka Radwanska,4.0,2.0,8359555.0,3522386.0,,1.31,Agnieszka Radwanska,87.0,12.0,6.0,91.0,42.0,78.0,62.0,36.0,16.0,9.0,13.0,,,,,2.0,171.0,,,2016-02-22,https://matchstat.com/tennis/tournaments/w/Doha/2016,Doha
6,H2H 1-0,Elena Vesnina,1.0,4.0,8359556.0,3522368.0,,2.85,Elena Vesnina,74.0,8.0,4.0,86.0,39.0,71.0,47.0,23.0,24.0,12.0,10.0,,,,,2.0,161.0,,,2.85,1.43,QF,6-3 7-6(3),hard,Carla Suarez Navarro,4.0,0.0,8359556.0,3522367.0,,1.43,Carla Suarez Navarro,87.0,14.0,5.0,75.0,40.0,86.0,61.0,34.0,25.0,13.0,11.0,,,,,1.0,161.0,,,2016-02-22,https://matchstat.com/tennis/tournaments/w/Doha/2016,Doha
7,H2H 1-2,Eugenie Bouchard,0.0,2.0,8359390.0,3521994.0,,1.53,Eugenie Bouchard,58.0,9.0,3.0,78.0,33.0,55.0,36.0,20.0,19.0,5.0,9.0,,,,,2.0,135.0,,,1.53,2.50,R16,7-6(1) 6-1,hard,Saisai Zheng,0.0,0.0,8359390.0,3521993.0,,2.5,Saisai Zheng,77.0,9.0,5.0,57.0,32.0,78.0,62.0,34.0,16.0,11.0,10.0,,,,,1.0,135.0,,,2016-02-22,https://matchstat.com/tennis/tournaments/w/Doha/2016,Doha
8,H2H 2-0,Petra Kvitova,2.0,4.0,8359391.0,3522002.0,,1.29,Petra Kvitova,79.0,8.0,4.0,89.0,37.0,84.0,63.0,34.0,21.0,8.0,14.0,,,,,2.0,177.0,,,1.29,3.60,R16,5-7 6-2 6-1,hard,Jelena Ostapenko,4.0,6.0,8359391.0,3522001.0,,3.6,Jelena Ostapenko,98.0,14.0,8.0,88.0,46.0,83.0,54.0,35.0,29.0,17.0,13.0,,,,,1.0,177.0,,,2016-02-22,https://matchstat.com/tennis/tournaments/w/Doha/2016,Doha
9,H2H 3-0,Timea Babos,2.0,1.0,8359392.0,3522020.0,,3.7,Timea Babos,58.0,5.0,0.0,70.0,21.0,67.0,48.0,31.0,19.0,6.0,10.0,,,,,2.0,138.0,,,3.70,1.27,R16,6-2 7-5,hard,Garbine Muguruza,10.0,3.0,8359392.0,3522019.0,,1.27,Garbine Muguruza,80.0,3.0,3.0,68.0,31.0,67.0,46.0,34.0,21.0,15.0,10.0,,,,,1.0,138.0,,,2016-02-22,https://matchstat.com/tennis/tournaments/w/Doha/2016,Doha
