,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 2-3,Serena Williams,,,8389731.0,3556941.0,,1.56,Serena Williams,,,,,,,,,,,,,,,,1.0,,,,1.56,2.40,F,7-5 6-4,clay,Garbine Muguruza,,,8389731.0,3556942.0,,2.4,Garbine Muguruza,,,,,,,,,,,,,,,,2.0,,,,2016-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/2016,FO - RG
1,H2H 2-0,Kiki Bertens,,,8389729.0,3556774.0,,5.5,Kiki Bertens,,,,,,,,,,,,,,,,2.0,,,,5.50,1.14,SF,7-6(7) 6-4,clay,Serena Williams,,,8389729.0,3556773.0,,1.143,Serena Williams,,,,,,,,,,,,,,,,1.0,,,,2016-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/2016,FO - RG
2,H2H 1-1,Samantha Stosur,,,8389730.0,3556500.0,,3.45,Samantha Stosur,,,,,,,,,,,,,,,,2.0,,,,3.45,1.31,SF,6-2 6-4,clay,Garbine Muguruza,,,8389730.0,3556499.0,,1.31,Garbine Muguruza,,,,,,,,,,,,,,,,1.0,,,,2016-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/2016,FO - RG
3,H2H 3-0,Yulia Putintseva,,,8389725.0,3556476.0,,8.5,Yulia Putintseva,,,,,,,,,,,,,,,,2.0,,,,8.50,1.08,QF,5-7 6-4 6-1,clay,Serena Williams,,,8389725.0,3556475.0,,1.08,Serena Williams,,,,,,,,,,,,,,,,1.0,,,,2016-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/2016,FO - RG
4,H2H 2-1,Timea Bacsinszky,,,8389726.0,3556410.0,,1.59,Timea Bacsinszky,,,,,,,,,,,,,,,,2.0,,,,1.59,2.30,QF,7-5 6-2,clay,Kiki Bertens,,,8389726.0,3556409.0,,2.3,Kiki Bertens,,,,,,,,,,,,,,,,1.0,,,,2016-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/2016,FO - RG
5,H2H 1-0,Shelby Rogers,,,8389727.0,3555387.0,,5.5,Shelby Rogers,,,,,,,,,,,,,,,,1.0,,,,5.50,1.13,QF,7-5 6-3,clay,Garbine Muguruza,,,8389727.0,3555388.0,,1.13,Garbine Muguruza,,,,,,,,,,,,,,,,2.0,,,,2016-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/2016,FO - RG
6,H2H 4-1,Tsvetana Pironkova,,,8389728.0,3556116.0,,2.7,Tsvetana Pironkova,,,,,,,,,,,,,,,,2.0,,,,2.70,1.46,QF,6-4 7-6(6),clay,Samantha Stosur,,,8389728.0,3556115.0,,1.46,Samantha Stosur,,,,,,,,,,,,,,,,1.0,,,,2016-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/2016,FO - RG
7,H2H 4-0,Elina Svitolina,,,8389717.0,3555144.0,,5.5,Elina Svitolina,,,,,,,,,,,,,,,,2.0,,,,5.50,1.14,R16,6-1 6-1,clay,Serena Williams,,,8389717.0,3555143.0,,1.143,Serena Williams,,,,,,,,,,,,,,,,1.0,,,,2016-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/2016,FO - RG
8,H2H 1-1,Carla Suarez Navarro,,,8389718.0,3555105.0,,1.444,Carla Suarez Navarro,,,,,,,,,,,,,,,,1.0,,,,1.44,2.75,R16,7-5 7-5,clay,Yulia Putintseva,,,8389718.0,3555106.0,,2.75,Yulia Putintseva,,,,,,,,,,,,,,,,2.0,,,,2016-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/2016,FO - RG
9,H2H 1-0,Madison Keys,,,8389719.0,3555172.0,,1.5,Madison Keys,,,,,,,,,,,,,,,,2.0,,,,1.50,2.63,R16,7-6(4) 6-3,clay,Kiki Bertens,,,8389719.0,3555171.0,,2.625,Kiki Bertens,,,,,,,,,,,,,,,,1.0,,,,2016-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/2016,FO - RG
10,H2H 1-2,Venus Williams,,,8389720.0,3555149.0,,2.4,Venus Williams,,,,,,,,,,,,,,,,1.0,,,,2.40,1.53,R16,6-2 6-4,clay,Timea Bacsinszky,,,8389720.0,3555150.0,,1.533,Timea Bacsinszky,,,,,,,,,,,,,,,,2.0,,,,2016-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/2016,FO - RG
