,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 1-1,Danka Kovinic,1.0,3.0,8379141.0,3542025.0,,1.48,Danka Kovinic,91.0,12.0,2.0,96.0,36.0,93.0,55.0,38.0,38.0,17.0,13.0,,,,,1.0,192.0,,,1.48,2.55,F,3-6 6-2 6-3,clay,Cagla Buyukakcay,2.0,4.0,8379141.0,3542026.0,,2.55,Cagla Buyukakcay,101.0,12.0,4.0,96.0,41.0,92.0,76.0,50.0,16.0,10.0,13.0,,,,,2.0,192.0,,,2016-04-18,https://matchstat.com/tennis/tournaments/w/Istanbul/2016,Istanbul
1,H2H 1-1,Kateryna Kozlova,0.0,4.0,8378161.0,3541688.0,,2.5,Kateryna Kozlova,66.0,12.0,6.0,75.0,39.0,62.0,52.0,25.0,10.0,2.0,11.0,,,,,2.0,141.0,,,2.50,1.53,SF,7-5 6-4,clay,Danka Kovinic,4.0,3.0,8378161.0,3541687.0,,1.53,Danka Kovinic,75.0,14.0,8.0,66.0,39.0,72.0,37.0,20.0,35.0,16.0,11.0,,,,,1.0,141.0,,,2016-04-18,https://matchstat.com/tennis/tournaments/w/Istanbul/2016,Istanbul
2,H2H 2-1,Stefanie Voegele,1.0,0.0,8378162.0,3541686.0,,1.8,Stefanie Voegele,47.0,2.0,2.0,51.0,20.0,64.0,40.0,17.0,24.0,10.0,9.0,,,,,2.0,115.0,,,1.80,2.00,SF,6-0 7-5,clay,Cagla Buyukakcay,1.0,0.0,8378162.0,3541685.0,,2.0,Cagla Buyukakcay,68.0,11.0,6.0,64.0,37.0,51.0,48.0,30.0,3.0,1.0,9.0,,,,,1.0,115.0,,,2016-04-18,https://matchstat.com/tennis/tournaments/w/Istanbul/2016,Istanbul
3,H2H 1-0,Maria Sakkari,1.0,1.0,8377872.0,3541055.0,,2.5,Maria Sakkari,74.0,11.0,3.0,89.0,37.0,69.0,45.0,31.0,24.0,6.0,11.0,,,,,1.0,159.0,,,2.50,1.53,QF,1-6 6-1 6-2,clay,Danka Kovinic,2.0,6.0,8377872.0,3541056.0,,1.53,Danka Kovinic,85.0,8.0,5.0,70.0,33.0,83.0,49.0,34.0,34.0,18.0,11.0,,,,,2.0,159.0,,,2016-04-18,https://matchstat.com/tennis/tournaments/w/Istanbul/2016,Istanbul
4,H2H 1-0,Anastasija Sevastova,2.0,1.0,8377957.0,3541436.0,,1.72,Anastasija Sevastova,55.0,6.0,2.0,72.0,30.0,52.0,36.0,21.0,16.0,4.0,8.0,,,,,2.0,125.0,,,1.72,2.00,QF,6-2 6-3,clay,Kateryna Kozlova,2.0,0.0,8377957.0,3541435.0,,2.0,Kateryna Kozlova,70.0,11.0,5.0,53.0,28.0,72.0,51.0,33.0,21.0,9.0,9.0,,,,,1.0,125.0,,,2016-04-18,https://matchstat.com/tennis/tournaments/w/Istanbul/2016,Istanbul
5,H2H 1-0,Nao Hibino,1.0,0.0,8377958.0,3541373.0,,2.1,Nao Hibino,31.0,3.0,1.0,44.0,13.0,47.0,36.0,15.0,11.0,3.0,7.0,,,,,1.0,91.0,,,2.10,1.66,QF,6-1 6-2,clay,Cagla Buyukakcay,1.0,0.0,8377958.0,3541374.0,,1.66,Cagla Buyukakcay,60.0,7.0,5.0,47.0,29.0,44.0,37.0,28.0,7.0,3.0,8.0,,,,,2.0,91.0,,,2016-04-18,https://matchstat.com/tennis/tournaments/w/Istanbul/2016,Istanbul
6,H2H 2-2,Kristina Kucova,0.0,0.0,8377959.0,3541467.0,,1.44,Kristina Kucova,53.0,7.0,3.0,60.0,25.0,64.0,46.0,20.0,18.0,8.0,10.0,,,,,1.0,124.0,,,1.44,2.62,QF,7-5 6-2,clay,Stefanie Voegele,1.0,1.0,8377959.0,3541468.0,,2.62,Stefanie Voegele,71.0,13.0,6.0,64.0,36.0,59.0,32.0,20.0,27.0,15.0,10.0,,,,,2.0,124.0,,,2016-04-18,https://matchstat.com/tennis/tournaments/w/Istanbul/2016,Istanbul
7,H2H 1-0,Su-Wei Hsieh,0.0,1.0,8377694.0,3540654.0,,3.0,Su-Wei Hsieh,52.0,3.0,2.0,52.0,15.0,66.0,48.0,29.0,18.0,8.0,9.0,,,,,2.0,119.0,,,3.00,1.36,R16,6-3 6-4,clay,Maria Sakkari,3.0,0.0,8377694.0,3540653.0,,1.36,Maria Sakkari,67.0,12.0,4.0,67.0,30.0,52.0,43.0,32.0,9.0,5.0,10.0,,,,,1.0,119.0,,,2016-04-18,https://matchstat.com/tennis/tournaments/w/Istanbul/2016,Istanbul
8,H2H 1-1,Tsvetana Pironkova,0.0,3.0,8377368.0,3540641.0,,2.0,Tsvetana Pironkova,78.0,8.0,4.0,83.0,34.0,79.0,61.0,34.0,18.0,10.0,12.0,,,,,1.0,165.0,,,2.00,1.72,R16,7-5 7-6(4),clay,Danka Kovinic,2.0,6.0,8377368.0,3540642.0,,1.72,Danka Kovinic,87.0,9.0,5.0,82.0,38.0,77.0,54.0,40.0,23.0,9.0,12.0,,,,,2.0,165.0,,,2016-04-18,https://matchstat.com/tennis/tournaments/w/Istanbul/2016,Istanbul
9,H2H 2-1,Kirsten Flipkens,0.0,1.0,8377878.0,3541141.0,,1.7,Kirsten Flipkens,65.0,14.0,2.0,73.0,31.0,71.0,46.0,24.0,25.0,10.0,10.0,,,,,1.0,145.0,,,1.70,2.10,R16,6-3 6-4,clay,Kateryna Kozlova,2.0,0.0,8377878.0,3541142.0,,2.1,Kateryna Kozlova,80.0,9.0,5.0,72.0,38.0,73.0,57.0,35.0,16.0,7.0,9.0,,,,,2.0,145.0,,,2016-04-18,https://matchstat.com/tennis/tournaments/w/Istanbul/2016,Istanbul
