,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 1-0,Misaki Doi,2.0,4.0,8355685.0,3518250.0,,3.85,Misaki Doi,57.0,9.0,3.0,65.0,27.0,63.0,39.0,21.0,24.0,9.0,9.0,,,,,2.0,132.0,,,3.85,1.26,F,6-4 6-2,hard,Venus Williams,2.0,9.0,8355685.0,3518249.0,,1.26,Venus Williams,75.0,12.0,6.0,67.0,37.0,56.0,34.0,23.0,22.0,15.0,9.0,,,,,1.0,132.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/w/Kaohsiung/2016,Kaohsiung
1,H2H 3-1,Yulia Putintseva,1.0,5.0,8355084.0,3517992.0,,4.1,Yulia Putintseva,67.0,9.0,3.0,85.0,35.0,58.0,39.0,21.0,19.0,11.0,10.0,,,,,2.0,148.0,,,4.10,1.23,SF,7-5 6-3,hard,Venus Williams,6.0,12.0,8355084.0,3517991.0,,1.23,Venus Williams,81.0,8.0,5.0,63.0,31.0,73.0,47.0,36.0,26.0,14.0,11.0,,,,,1.0,148.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/w/Kaohsiung/2016,Kaohsiung
2,H2H 2-4,Su-Wei Hsieh,1.0,3.0,8355015.0,3517995.0,,2.3,Su-Wei Hsieh,32.0,1.0,0.0,43.0,12.0,47.0,23.0,14.0,24.0,6.0,7.0,,,,,1.0,93.0,,,2.30,1.61,SF,6-0 6-2,hard,Misaki Doi,3.0,0.0,8355015.0,3517996.0,,1.61,Misaki Doi,61.0,8.0,5.0,50.0,30.0,43.0,30.0,21.0,13.0,10.0,7.0,,,,,2.0,93.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/w/Kaohsiung/2016,Kaohsiung
3,H2H 1-0,Anastasija Sevastova,1.0,5.0,8354848.0,3517826.0,,4.65,Anastasija Sevastova,51.0,7.0,4.0,51.0,22.0,63.0,30.0,17.0,33.0,12.0,10.0,,,,,2.0,119.0,,,4.65,1.19,QF,7-5 6-2,hard,Venus Williams,2.0,5.0,8354848.0,3517825.0,,1.19,Venus Williams,68.0,10.0,7.0,68.0,39.0,46.0,24.0,16.0,22.0,13.0,10.0,,,,,1.0,119.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/w/Kaohsiung/2016,Kaohsiung
4,H2H 2-2,Stefanie Voegele,2.0,0.0,8354845.0,3517824.0,,2.05,Stefanie Voegele,29.0,3.0,2.0,22.0,10.0,43.0,27.0,16.0,16.0,3.0,5.0,,,,,2.0,65.0,,,2.05,1.77,QF,6-3 0-0 Ret.,hard,Yulia Putintseva,2.0,2.0,8354845.0,3517823.0,,1.77,Yulia Putintseva,36.0,5.0,4.0,43.0,24.0,20.0,12.0,8.0,8.0,4.0,4.0,,,,,1.0,65.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/w/Kaohsiung/2016,Kaohsiung
5,H2H 3-0,Elizaveta Kulichkova,2.0,9.0,8354846.0,3517828.0,,1.9,Elizaveta Kulichkova,31.0,4.0,2.0,40.0,17.0,38.0,18.0,11.0,20.0,3.0,7.0,,,,,2.0,87.0,,,1.90,1.90,QF,6-0 6-2,hard,Su-Wei Hsieh,1.0,1.0,8354846.0,3517827.0,,1.9,Su-Wei Hsieh,56.0,11.0,7.0,47.0,33.0,39.0,21.0,14.0,18.0,9.0,7.0,,,,,1.0,87.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/w/Kaohsiung/2016,Kaohsiung
6,H2H 2-2,Kurumi Nara,0.0,0.0,8354849.0,3517819.0,,2.3,Kurumi Nara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,,,2.30,1.61,QF,WO,hard,Misaki Doi,0.0,0.0,8354849.0,3517820.0,,1.61,Misaki Doi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/w/Kaohsiung/2016,Kaohsiung
7,H2H 3-1,Urszula Radwanska,0.0,6.0,8354365.0,3517544.0,,4.5,Urszula Radwanska,52.0,4.0,2.0,60.0,22.0,52.0,33.0,18.0,19.0,12.0,9.0,,,,,2.0,118.0,,,4.50,1.17,R16,6-4 6-2,hard,Venus Williams,2.0,2.0,8354365.0,3517543.0,,1.167,Venus Williams,66.0,7.0,5.0,58.0,28.0,58.0,36.0,24.0,22.0,14.0,9.0,,,,,1.0,118.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/w/Kaohsiung/2016,Kaohsiung
8,H2H 1-0,Donna Vekic,4.0,3.0,8354366.0,3517216.0,,2.4,Donna Vekic,117.0,19.0,5.0,123.0,55.0,103.0,58.0,40.0,45.0,22.0,16.0,,,,,2.0,229.0,,,2.40,1.54,R16,7-5 2-6 7-5,hard,Anastasija Sevastova,5.0,5.0,8354366.0,3517215.0,,1.54,Anastasija Sevastova,112.0,14.0,5.0,106.0,44.0,118.0,63.0,43.0,55.0,25.0,16.0,,,,,1.0,229.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/w/Kaohsiung/2016,Kaohsiung
9,H2H 1-0,Miyu Kato,0.0,4.0,8354369.0,3517218.0,,5.05,Miyu Kato,75.0,11.0,6.0,94.0,42.0,73.0,42.0,21.0,31.0,12.0,14.0,,,,,2.0,171.0,,,5.05,1.15,R16,6-4 5-7 6-0,hard,Yulia Putintseva,3.0,2.0,8354369.0,3517217.0,,1.15,Yulia Putintseva,96.0,10.0,9.0,77.0,44.0,92.0,78.0,46.0,14.0,6.0,14.0,,,,,1.0,171.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/w/Kaohsiung/2016,Kaohsiung
