,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 2-3,Dominika Cibulkova,1.0,2.0,8383502.0,3546717.0,,2.7,Dominika Cibulkova,48.0,4.0,0.0,62.0,19.0,45.0,35.0,22.0,10.0,7.0,9.0,,,,,1.0,109.0,,,2.70,1.42,F,6-2 6-4,clay,Simona Halep,3.0,3.0,8383502.0,3546718.0,,1.42,Simona Halep,61.0,5.0,3.0,47.0,18.0,59.0,44.0,30.0,15.0,13.0,9.0,,,,,2.0,109.0,,,2016-04-25,https://matchstat.com/tennis/tournaments/w/Madrid%20Masters/2016,Madrid Masters
1,H2H 1-0,Louisa Chirico,4.0,3.0,8383411.0,3546420.0,,2.7,Louisa Chirico,30.0,0.0,0.0,38.0,9.0,45.0,28.0,15.0,17.0,6.0,7.0,,,,,2.0,86.0,,,2.70,1.42,SF,6-1 6-1,clay,Dominika Cibulkova,1.0,1.0,8383411.0,3546419.0,,1.42,Dominika Cibulkova,56.0,7.0,5.0,48.0,27.0,37.0,28.0,23.0,9.0,6.0,7.0,,,,,1.0,86.0,,,2016-04-25,https://matchstat.com/tennis/tournaments/w/Madrid%20Masters/2016,Madrid Masters
2,H2H 3-4,Samantha Stosur,1.0,2.0,8383413.0,3546422.0,,3.0,Samantha Stosur,22.0,0.0,0.0,35.0,7.0,36.0,24.0,13.0,12.0,2.0,7.0,,,,,2.0,73.0,,,3.00,1.35,SF,6-2 6-0,clay,Simona Halep,4.0,1.0,8383413.0,3546421.0,,1.35,Simona Halep,51.0,5.0,5.0,38.0,23.0,34.0,28.0,23.0,6.0,5.0,7.0,,,,,1.0,73.0,,,2016-04-25,https://matchstat.com/tennis/tournaments/w/Madrid%20Masters/2016,Madrid Masters
3,H2H 4-1,Sorana Cirstea,2.0,3.0,8383317.0,3546098.0,,2.8,Sorana Cirstea,86.0,6.0,3.0,84.0,31.0,90.0,57.0,35.0,33.0,20.0,14.0,,,,,2.0,177.0,,,2.80,1.40,QF,4-6 6-3 6-3,clay,Dominika Cibulkova,2.0,4.0,8383317.0,3546097.0,,1.4,Dominika Cibulkova,91.0,10.0,5.0,93.0,38.0,80.0,62.0,45.0,18.0,8.0,14.0,,,,,1.0,177.0,,,2016-04-25,https://matchstat.com/tennis/tournaments/w/Madrid%20Masters/2016,Madrid Masters
4,H2H 1-0,Daria Gavrilova,3.0,4.0,8383234.0,3545980.0,,1.533,Daria Gavrilova,68.0,5.0,0.0,67.0,19.0,82.0,60.0,39.0,22.0,10.0,10.0,,,,,2.0,153.0,,,1.53,2.50,QF,7-6(1) 6-2,clay,Louisa Chirico,1.0,1.0,8383234.0,3545979.0,,2.5,Louisa Chirico,85.0,7.0,2.0,86.0,37.0,66.0,41.0,32.0,25.0,16.0,10.0,,,,,1.0,153.0,,,2016-04-25,https://matchstat.com/tennis/tournaments/w/Madrid%20Masters/2016,Madrid Masters
5,H2H 4-0,Irina-Camelia Begu,1.0,6.0,8383235.0,3545990.0,,4.0,Irina-Camelia Begu,73.0,11.0,3.0,75.0,31.0,68.0,49.0,35.0,19.0,7.0,11.0,,,,,2.0,149.0,,,4.00,1.22,QF,6-3 0-6 6-1,clay,Simona Halep,0.0,3.0,8383235.0,3545989.0,,1.222,Simona Halep,76.0,12.0,4.0,74.0,32.0,72.0,50.0,30.0,22.0,14.0,11.0,,,,,1.0,149.0,,,2016-04-25,https://matchstat.com/tennis/tournaments/w/Madrid%20Masters/2016,Madrid Masters
6,H2H 1-0,Patricia Maria Tig,2.0,1.0,8383318.0,3546124.0,,3.2,Patricia Maria Tig,60.0,6.0,0.0,66.0,21.0,63.0,45.0,31.0,18.0,8.0,9.0,,,,,2.0,130.0,,,3.20,1.35,QF,6-3 6-4,clay,Samantha Stosur,2.0,3.0,8383318.0,3546123.0,,1.35,Samantha Stosur,70.0,4.0,2.0,64.0,25.0,63.0,45.0,33.0,18.0,12.0,10.0,,,,,1.0,130.0,,,2016-04-25,https://matchstat.com/tennis/tournaments/w/Madrid%20Masters/2016,Madrid Masters
7,H2H 3-2,Anastasia Pavlyuchenkova,5.0,4.0,8383092.0,3545672.0,,2.75,Anastasia Pavlyuchenkova,77.0,7.0,4.0,81.0,29.0,76.0,51.0,35.0,25.0,13.0,14.0,,,,,2.0,161.0,,,2.75,1.40,R16,2-6 6-3 7-5,clay,Dominika Cibulkova,1.0,1.0,8383092.0,3545671.0,,1.4,Dominika Cibulkova,84.0,10.0,4.0,80.0,32.0,80.0,58.0,37.0,22.0,15.0,15.0,,,,,1.0,161.0,,,2016-04-25,https://matchstat.com/tennis/tournaments/w/Madrid%20Masters/2016,Madrid Masters
8,H2H 1-0,Laura Siegemund,0.0,1.0,8383161.0,3545639.0,,1.36,Laura Siegemund,80.0,11.0,4.0,86.0,37.0,82.0,64.0,32.0,18.0,11.0,11.0,,,,,1.0,169.0,,,1.36,3.15,R16,6-4 7-6(9),clay,Sorana Cirstea,1.0,2.0,8383161.0,3545640.0,,3.15,Sorana Cirstea,89.0,13.0,5.0,83.0,40.0,84.0,52.0,28.0,32.0,21.0,11.0,,,,,2.0,169.0,,,2016-04-25,https://matchstat.com/tennis/tournaments/w/Madrid%20Masters/2016,Madrid Masters
9,H2H 0-0,Victoria Azarenka,0.0,0.0,8382956.0,3545487.0,,1.083,Victoria Azarenka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,,,1.08,7.00,R16,WO,clay,Louisa Chirico,0.0,0.0,8382956.0,3545488.0,,7.0,Louisa Chirico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,,,2016-04-25,https://matchstat.com/tennis/tournaments/w/Madrid%20Masters/2016,Madrid Masters
10,H2H 2-1,Petra Kvitova,2.0,3.0,8382643.0,3545450.0,,1.222,Petra Kvitova,68.0,7.0,1.0,73.0,27.0,72.0,47.0,25.0,25.0,16.0,9.0,,,,,2.0,148.0,,,1.22,4.00,R16,6-3 6-4,clay,Daria Gavrilova,2.0,2.0,8382643.0,3545449.0,,4.0,Daria Gavrilova,80.0,9.0,3.0,75.0,34.0,71.0,53.0,34.0,18.0,12.0,10.0,,,,,1.0,148.0,,,2016-04-25,https://matchstat.com/tennis/tournaments/w/Madrid%20Masters/2016,Madrid Masters
11,H2H 3-1,Timea Bacsinszky,2.0,1.0,8383093.0,3545482.0,,2.55,Timea Bacsinszky,42.0,5.0,2.0,58.0,23.0,43.0,29.0,13.0,14.0,6.0,8.0,,,,,2.0,102.0,,,2.55,1.48,R16,6-2 6-3,clay,Simona Halep,2.0,1.0,8383093.0,3545481.0,,1.48,Simona Halep,60.0,7.0,5.0,44.0,25.0,57.0,35.0,21.0,22.0,14.0,9.0,,,,,1.0,102.0,,,2016-04-25,https://matchstat.com/tennis/tournaments/w/Madrid%20Masters/2016,Madrid Masters
12,H2H 1-1,Christina McHale,4.0,5.0,8382644.0,3545443.0,,1.83,Christina McHale,98.0,13.0,3.0,109.0,40.0,90.0,53.0,35.0,37.0,23.0,16.0,,,,,1.0,204.0,,,1.83,1.83,R16,6-7(6) 6-4 6-4,clay,Irina-Camelia Begu,4.0,5.0,8382644.0,3545444.0,,1.83,Irina-Camelia Begu,106.0,9.0,5.0,95.0,37.0,104.0,77.0,53.0,27.0,16.0,16.0,,,,,2.0,204.0,,,2016-04-25,https://matchstat.com/tennis/tournaments/w/Madrid%20Masters/2016,Madrid Masters
13,H2H 4-3,Carla Suarez Navarro,1.0,0.0,8382979.0,3545423.0,,1.55,Carla Suarez Navarro,80.0,11.0,4.0,101.0,42.0,67.0,56.0,31.0,11.0,7.0,13.0,,,,,1.0,168.0,,,1.55,2.35,R16,4-6 6-2 6-3,clay,Samantha Stosur,3.0,2.0,8382979.0,3545424.0,,2.35,Samantha Stosur,88.0,11.0,6.0,67.0,29.0,99.0,75.0,48.0,24.0,11.0,14.0,,,,,2.0,168.0,,,2016-04-25,https://matchstat.com/tennis/tournaments/w/Madrid%20Masters/2016,Madrid Masters
14,H2H 1-0,Madison Keys,0.0,2.0,8382645.0,3545446.0,,1.2,Madison Keys,51.0,9.0,4.0,59.0,29.0,54.0,35.0,13.0,19.0,9.0,10.0,,,,,2.0,115.0,,,1.20,4.33,R16,6-3 6-4,clay,Patricia Maria Tig,1.0,4.0,8382645.0,3545445.0,,4.333,Patricia Maria Tig,64.0,11.0,7.0,56.0,34.0,55.0,46.0,24.0,9.0,6.0,9.0,,,,,1.0,115.0,,,2016-04-25,https://matchstat.com/tennis/tournaments/w/Madrid%20Masters/2016,Madrid Masters
15,H2H 1-0,Caroline Garcia,3.0,3.0,8382316.0,3545582.0,,,Caroline Garcia,74.0,6.0,4.0,72.0,30.0,70.0,51.0,34.0,19.0,10.0,13.0,,,,,2.0,145.0,,,,,R32,0-6 6-3 6-4,clay,Dominika Cibulkova,2.0,2.0,8382316.0,3545581.0,,,Dominika Cibulkova,71.0,5.0,4.0,73.0,29.0,70.0,56.0,37.0,14.0,5.0,12.0,,,,,1.0,145.0,,,2016-04-25,https://matchstat.com/tennis/tournaments/w/Madrid%20Masters/2016,Madrid Masters
