,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 5-4,Svetlana Kuznetsova,2.0,2.0,8371594.0,3534525.0,,5.1,Svetlana Kuznetsova,41.0,4.0,3.0,45.0,20.0,54.0,42.0,19.0,12.0,2.0,9.0,,,,,1.0,101.0,,,5.10,1.17,F,6-3 6-2,hard,Victoria Azarenka,2.0,6.0,8371594.0,3534526.0,,1.17,Victoria Azarenka,60.0,12.0,7.0,56.0,35.0,39.0,26.0,17.0,13.0,8.0,8.0,,,,,2.0,101.0,,,2016-03-21,https://matchstat.com/tennis/tournaments/w/Miami%20Masters/2016,Miami Masters
1,H2H 3-0,Timea Bacsinszky,0.0,2.0,8371386.0,3534056.0,,2.0,Timea Bacsinszky,67.0,14.0,2.0,83.0,35.0,57.0,44.0,28.0,13.0,4.0,10.0,,,,,2.0,142.0,,,2.00,1.82,SF,7-5 6-3,hard,Svetlana Kuznetsova,3.0,2.0,8371386.0,3534055.0,,1.82,Svetlana Kuznetsova,75.0,7.0,4.0,59.0,27.0,81.0,54.0,34.0,27.0,14.0,11.0,,,,,1.0,142.0,,,2016-03-21,https://matchstat.com/tennis/tournaments/w/Miami%20Masters/2016,Miami Masters
2,H2H 7-1,Angelique Kerber,1.0,2.0,8371471.0,3534320.0,,3.85,Angelique Kerber,55.0,8.0,4.0,67.0,30.0,60.0,44.0,21.0,16.0,4.0,10.0,,,,,2.0,129.0,,,3.85,1.28,SF,6-2 7-5,hard,Victoria Azarenka,1.0,4.0,8371471.0,3534319.0,,1.28,Victoria Azarenka,74.0,11.0,7.0,62.0,37.0,63.0,50.0,32.0,13.0,5.0,10.0,,,,,1.0,129.0,,,2016-03-21,https://matchstat.com/tennis/tournaments/w/Miami%20Masters/2016,Miami Masters
3,H2H 6-1,Ekaterina Makarova,5.0,6.0,8371246.0,3533662.0,,2.05,Ekaterina Makarova,105.0,12.0,7.0,105.0,50.0,104.0,69.0,37.0,35.0,18.0,15.0,,,,,2.0,215.0,,,2.05,1.80,QF,6-7(3) 6-4 6-3,hard,Svetlana Kuznetsova,6.0,4.0,8371246.0,3533661.0,,1.8,Svetlana Kuznetsova,110.0,17.0,9.0,110.0,55.0,101.0,69.0,40.0,32.0,15.0,16.0,,,,,1.0,215.0,,,2016-03-21,https://matchstat.com/tennis/tournaments/w/Miami%20Masters/2016,Miami Masters
4,H2H 1-3,Simona Halep,0.0,2.0,8371247.0,3533556.0,,1.31,Simona Halep,84.0,4.0,3.0,96.0,39.0,79.0,50.0,28.0,29.0,17.0,13.0,,,,,2.0,177.0,,,1.31,3.55,QF,4-6 6-3 6-2,hard,Timea Bacsinszky,2.0,2.0,8371247.0,3533555.0,,3.55,Timea Bacsinszky,93.0,9.0,5.0,81.0,36.0,94.0,63.0,44.0,31.0,13.0,14.0,,,,,1.0,177.0,,,2016-03-21,https://matchstat.com/tennis/tournaments/w/Miami%20Masters/2016,Miami Masters
5,H2H 1-1,Johanna Konta,1.0,3.0,8371254.0,3533657.0,,3.85,Johanna Konta,53.0,5.0,0.0,68.0,23.0,48.0,30.0,22.0,18.0,8.0,9.0,,,,,1.0,119.0,,,3.85,1.26,QF,6-4 6-2,hard,Victoria Azarenka,1.0,4.0,8371254.0,3533658.0,,1.26,Victoria Azarenka,66.0,5.0,3.0,51.0,21.0,64.0,44.0,33.0,20.0,12.0,9.0,,,,,2.0,119.0,,,2016-03-21,https://matchstat.com/tennis/tournaments/w/Miami%20Masters/2016,Miami Masters
6,H2H 4-1,Madison Keys,4.0,2.0,8371255.0,3533709.0,,2.1,Madison Keys,44.0,2.0,1.0,51.0,16.0,52.0,36.0,23.0,16.0,5.0,8.0,,,,,1.0,105.0,,,2.10,1.74,QF,6-3 6-2,hard,Angelique Kerber,0.0,1.0,8371255.0,3533710.0,,1.74,Angelique Kerber,61.0,7.0,4.0,54.0,26.0,50.0,32.0,21.0,18.0,14.0,9.0,,,,,2.0,105.0,,,2016-03-21,https://matchstat.com/tennis/tournaments/w/Miami%20Masters/2016,Miami Masters
7,H2H 3-10,Serena Williams,13.0,9.0,8370435.0,3533023.0,,1.09,Serena Williams,79.0,5.0,2.0,84.0,25.0,94.0,65.0,39.0,29.0,15.0,13.0,,,,,1.0,187.0,,,1.09,6.75,R16,6-7(3) 6-1 6-2,hard,Svetlana Kuznetsova,8.0,1.0,8370435.0,3533024.0,,6.75,Svetlana Kuznetsova,108.0,15.0,6.0,103.0,49.0,83.0,56.0,42.0,27.0,17.0,14.0,,,,,2.0,187.0,,,2016-03-21,https://matchstat.com/tennis/tournaments/w/Miami%20Masters/2016,Miami Masters
8,H2H 4-0,Elina Svitolina,1.0,0.0,8370382.0,3533055.0,,1.95,Elina Svitolina,38.0,4.0,2.0,51.0,19.0,44.0,30.0,15.0,14.0,4.0,8.0,,,,,1.0,95.0,,,1.95,1.80,R16,6-1 6-4,hard,Ekaterina Makarova,0.0,2.0,8370382.0,3533056.0,,1.8,Ekaterina Makarova,57.0,8.0,5.0,44.0,25.0,49.0,34.0,22.0,15.0,10.0,9.0,,,,,2.0,95.0,,,2016-03-21,https://matchstat.com/tennis/tournaments/w/Miami%20Masters/2016,Miami Masters
9,H2H 2-0,Agnieszka Radwanska,1.0,0.0,8370436.0,3533025.0,,1.32,Agnieszka Radwanska,73.0,7.0,4.0,75.0,32.0,72.0,38.0,23.0,34.0,18.0,13.0,,,,,1.0,147.0,,,1.32,3.25,R16,2-6 6-4 6-2,hard,Timea Bacsinszky,0.0,2.0,8370436.0,3533026.0,,3.25,Timea Bacsinszky,74.0,7.0,5.0,72.0,31.0,73.0,55.0,35.0,18.0,8.0,13.0,,,,,2.0,147.0,,,2016-03-21,https://matchstat.com/tennis/tournaments/w/Miami%20Masters/2016,Miami Masters
