,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 1-2,Kirsten Flipkens,5.0,3.0,8363093.0,3525225.0,,2.05,Kirsten Flipkens,78.0,9.0,2.0,91.0,34.0,72.0,51.0,33.0,21.0,11.0,13.0,,,,,1.0,166.0,,,2.05,1.73,F,3-6 6-2 6-3,hard,Heather Watson,7.0,3.0,8363093.0,3525226.0,,1.727,Heather Watson,88.0,6.0,4.0,75.0,31.0,88.0,51.0,36.0,37.0,21.0,13.0,,,,,2.0,166.0,,,2016-02-29,https://matchstat.com/tennis/tournaments/w/Monterrey/2016,Monterrey
1,H2H 1-0,Anett Kontaveit,3.0,7.0,8362855.0,3524993.0,,1.75,Anett Kontaveit,82.0,3.0,2.0,72.0,26.0,96.0,54.0,34.0,42.0,22.0,11.0,,,,,1.0,175.0,,,1.75,2.00,SF,7-6(6) 6-4,hard,Kirsten Flipkens,3.0,1.0,8362855.0,3524994.0,,2.0,Kirsten Flipkens,93.0,12.0,3.0,103.0,47.0,71.0,40.0,28.0,31.0,18.0,11.0,,,,,2.0,175.0,,,2016-02-29,https://matchstat.com/tennis/tournaments/w/Monterrey/2016,Monterrey
2,H2H 3-0,Caroline Garcia,5.0,2.0,8362856.0,3524995.0,,1.55,Caroline Garcia,33.0,0.0,0.0,37.0,9.0,54.0,34.0,16.0,20.0,8.0,8.0,,,,,1.0,93.0,,,1.55,2.35,SF,6-1 6-2,hard,Heather Watson,5.0,1.0,8362856.0,3524996.0,,2.35,Heather Watson,60.0,8.0,5.0,56.0,32.0,36.0,23.0,20.0,13.0,8.0,7.0,,,,,2.0,93.0,,,2016-02-29,https://matchstat.com/tennis/tournaments/w/Monterrey/2016,Monterrey
3,H2H 3-1,Nicole Gibbs,0.0,2.0,8361975.0,3524778.0,,1.83,Nicole Gibbs,42.0,6.0,2.0,57.0,22.0,41.0,25.0,16.0,16.0,4.0,8.0,,,,,2.0,100.0,,,1.83,1.83,QF,6-1 6-4,hard,Anett Kontaveit,5.0,3.0,8361975.0,3524777.0,,1.83,Anett Kontaveit,58.0,6.0,5.0,43.0,23.0,54.0,31.0,19.0,23.0,16.0,9.0,,,,,1.0,100.0,,,2016-02-29,https://matchstat.com/tennis/tournaments/w/Monterrey/2016,Monterrey
4,H2H 1-2,Johanna Konta,3.0,1.0,8361838.0,3524529.0,,1.33,Johanna Konta,82.0,6.0,2.0,100.0,36.0,75.0,41.0,26.0,34.0,20.0,13.0,,,,,1.0,176.0,,,1.33,3.25,QF,6-3 6-7(2) 6-1,hard,Kirsten Flipkens,2.0,2.0,8361838.0,3524530.0,,3.25,Kirsten Flipkens,94.0,8.0,5.0,76.0,30.0,98.0,63.0,42.0,35.0,22.0,15.0,,,,,2.0,176.0,,,2016-02-29,https://matchstat.com/tennis/tournaments/w/Monterrey/2016,Monterrey
5,H2H 1-2,Pauline Parmentier,4.0,3.0,8361969.0,3524772.0,,3.75,Pauline Parmentier,53.0,5.0,2.0,59.0,20.0,60.0,38.0,25.0,22.0,8.0,10.0,,,,,2.0,122.0,,,3.75,1.25,QF,7-5 6-2,hard,Caroline Garcia,4.0,1.0,8361969.0,3524771.0,,1.25,Caroline Garcia,69.0,12.0,5.0,63.0,30.0,58.0,41.0,27.0,17.0,12.0,10.0,,,,,1.0,122.0,,,2016-02-29,https://matchstat.com/tennis/tournaments/w/Monterrey/2016,Monterrey
6,H2H 1-0,Caroline Wozniacki,2.0,5.0,8361852.0,3524780.0,,1.44,Caroline Wozniacki,60.0,3.0,1.0,65.0,18.0,67.0,45.0,31.0,22.0,11.0,11.0,,,,,2.0,137.0,,,1.44,2.62,QF,7-5 6-4,hard,Heather Watson,6.0,3.0,8361852.0,3524779.0,,2.62,Heather Watson,77.0,7.0,3.0,72.0,30.0,62.0,35.0,29.0,27.0,18.0,11.0,,,,,1.0,137.0,,,2016-02-29,https://matchstat.com/tennis/tournaments/w/Monterrey/2016,Monterrey
7,H2H 1-0,Sara Errani,0.0,2.0,8361851.0,3524557.0,,1.4,Sara Errani,40.0,6.0,2.0,48.0,20.0,50.0,47.0,19.0,3.0,1.0,8.0,,,,,1.0,100.0,,,1.40,2.88,R16,6-1 6-3,hard,Anett Kontaveit,5.0,4.0,8361851.0,3524558.0,,2.875,Anett Kontaveit,60.0,11.0,6.0,52.0,32.0,44.0,25.0,15.0,19.0,13.0,8.0,,,,,2.0,100.0,,,2016-02-29,https://matchstat.com/tennis/tournaments/w/Monterrey/2016,Monterrey
8,H2H 1-3,Christina McHale,4.0,7.0,8361710.0,3524231.0,,1.72,Christina McHale,100.0,9.0,3.0,105.0,42.0,98.0,62.0,40.0,36.0,18.0,14.0,,,,,1.0,210.0,,,1.72,2.00,R16,7-6(5) 6-7(4) 3-0 Ret.,hard,Nicole Gibbs,3.0,3.0,8361710.0,3524232.0,,2.0,Nicole Gibbs,110.0,10.0,5.0,105.0,47.0,102.0,64.0,39.0,38.0,24.0,13.0,,,,,2.0,210.0,,,2016-02-29,https://matchstat.com/tennis/tournaments/w/Monterrey/2016,Monterrey
9,H2H 2-1,Yanina Wickmayer,2.0,9.0,8361572.0,3524114.0,,2.5,Yanina Wickmayer,89.0,3.0,2.0,89.0,33.0,85.0,56.0,38.0,29.0,18.0,12.0,,,,,2.0,183.0,,,2.50,1.53,R16,7-6(6) 7-6(4),hard,Johanna Konta,6.0,13.0,8361572.0,3524113.0,,1.53,Johanna Konta,94.0,8.0,2.0,94.0,38.0,76.0,50.0,37.0,26.0,19.0,12.0,,,,,1.0,183.0,,,2016-02-29,https://matchstat.com/tennis/tournaments/w/Monterrey/2016,Monterrey
10,H2H 1-1,Alison Van Uytvanck,5.0,6.0,8361573.0,3524194.0,,1.77,Alison Van Uytvanck,83.0,5.0,2.0,79.0,25.0,98.0,50.0,36.0,48.0,22.0,13.0,,,,,2.0,183.0,,,1.77,2.05,R16,6-2 4-6 6-3,hard,Kirsten Flipkens,1.0,3.0,8361573.0,3524193.0,,2.05,Kirsten Flipkens,100.0,15.0,4.0,104.0,46.0,76.0,46.0,32.0,30.0,22.0,14.0,,,,,1.0,183.0,,,2016-02-29,https://matchstat.com/tennis/tournaments/w/Monterrey/2016,Monterrey
11,H2H 2-0,Julia Glushko,0.0,3.0,8361740.0,3524508.0,,4.0,Julia Glushko,46.0,5.0,0.0,62.0,22.0,45.0,39.0,20.0,6.0,4.0,7.0,,,,,2.0,110.0,,,4.00,1.22,R16,6-1 6-2,hard,Caroline Garcia,7.0,2.0,8361740.0,3524507.0,,1.222,Caroline Garcia,64.0,8.0,4.0,48.0,24.0,60.0,42.0,31.0,18.0,9.0,8.0,,,,,1.0,110.0,,,2016-02-29,https://matchstat.com/tennis/tournaments/w/Monterrey/2016,Monterrey
12,H2H 1-1,Monica Puig,2.0,2.0,8361711.0,3524229.0,,1.35,Monica Puig,53.0,5.0,2.0,68.0,26.0,50.0,29.0,16.0,21.0,11.0,9.0,,,,,1.0,120.0,,,1.35,3.20,R16,6-3 6-4,hard,Pauline Parmentier,8.0,5.0,8361711.0,3524230.0,,3.2,Pauline Parmentier,67.0,4.0,4.0,52.0,25.0,63.0,42.0,30.0,21.0,12.0,10.0,,,,,2.0,120.0,,,2016-02-29,https://matchstat.com/tennis/tournaments/w/Monterrey/2016,Monterrey
13,H2H 2-2,Polona Hercog,4.0,2.0,8361555.0,3524115.0,,2.2,Polona Hercog,45.0,8.0,3.0,56.0,25.0,55.0,33.0,15.0,22.0,5.0,9.0,,,,,1.0,113.0,,,2.20,1.69,R16,6-2 6-3,hard,Heather Watson,1.0,3.0,8361555.0,3524116.0,,1.69,Heather Watson,68.0,11.0,7.0,57.0,37.0,53.0,35.0,21.0,18.0,10.0,8.0,,,,,2.0,113.0,,,2016-02-29,https://matchstat.com/tennis/tournaments/w/Monterrey/2016,Monterrey
14,H2H 2-0,Mirjana Lucic-Baroni,1.0,6.0,8361574.0,3524469.0,,3.5,Mirjana Lucic-Baroni,50.0,3.0,2.0,58.0,19.0,52.0,26.0,17.0,26.0,14.0,10.0,,,,,1.0,116.0,,,3.50,1.29,R16,6-4 6-4,hard,Caroline Wozniacki,5.0,1.0,8361574.0,3524470.0,,1.285,Caroline Wozniacki,66.0,5.0,4.0,58.0,27.0,57.0,38.0,27.0,19.0,12.0,10.0,,,,,2.0,116.0,,,2016-02-29,https://matchstat.com/tennis/tournaments/w/Monterrey/2016,Monterrey
