,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 3-1,Alison Riske,2.0,5.0,8398939.0,3560202.0,,2.25,Alison Riske,81.0,12.0,3.0,87.0,34.0,77.0,52.0,31.0,25.0,16.0,12.0,,,,,2.0,169.0,,,2.25,1.57,F,7-6(8) 7-5,grass,Karolina Pliskova,14.0,2.0,8398939.0,3560201.0,,1.571,Karolina Pliskova,88.0,8.0,4.0,82.0,35.0,85.0,49.0,41.0,36.0,12.0,12.0,,,,,1.0,169.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
1,H2H 3-0,Monica Puig,0.0,3.0,8398938.0,3560166.0,,,Monica Puig,33.0,3.0,0.0,42.0,9.0,47.0,32.0,16.0,15.0,8.0,8.0,,,,,2.0,92.0,,,,,SF,6-2 6-2,grass,Karolina Pliskova,9.0,0.0,8398938.0,3560165.0,,,Karolina Pliskova,59.0,8.0,4.0,50.0,26.0,42.0,26.0,25.0,16.0,8.0,8.0,,,,,1.0,92.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
2,H2H 3-1,Saisai Zheng,1.0,1.0,8399050.0,3560196.0,,,Saisai Zheng,47.0,8.0,3.0,59.0,22.0,58.0,39.0,20.0,19.0,5.0,9.0,,,,,2.0,118.0,,,,,SF,6-1 7-5,grass,Alison Riske,3.0,4.0,8399050.0,3560195.0,,,Alison Riske,71.0,14.0,6.0,59.0,34.0,55.0,46.0,31.0,9.0,6.0,10.0,,,,,1.0,118.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
3,H2H 1-1,Ashleigh Barty,2.0,4.0,8397452.0,3559402.0,,2.62,Ashleigh Barty,92.0,11.0,2.0,107.0,40.0,82.0,58.0,42.0,24.0,10.0,12.0,,,,,2.0,193.0,,,2.62,1.44,QF,7-6(2) 7-6(7),grass,Karolina Pliskova,20.0,2.0,8397452.0,3559401.0,,1.44,Karolina Pliskova,101.0,6.0,2.0,86.0,34.0,105.0,67.0,45.0,38.0,22.0,12.0,,,,,1.0,193.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
4,H2H 2-1,Tamira Paszek,2.0,0.0,8397453.0,3559400.0,,2.2,Tamira Paszek,50.0,7.0,2.0,67.0,26.0,48.0,40.0,23.0,8.0,1.0,9.0,,,,,2.0,115.0,,,2.20,1.67,QF,6-4 6-3,grass,Monica Puig,2.0,5.0,8397453.0,3559399.0,,1.667,Monica Puig,65.0,8.0,4.0,48.0,24.0,62.0,44.0,28.0,18.0,13.0,10.0,,,,,1.0,115.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
5,H2H 2-0,Anett Kontaveit,4.0,1.0,8397454.0,3559102.0,,2.4,Anett Kontaveit,61.0,5.0,0.0,68.0,23.0,68.0,41.0,26.0,27.0,12.0,9.0,,,,,2.0,137.0,,,2.40,1.56,QF,6-3 6-3,grass,Alison Riske,2.0,2.0,8397454.0,3559101.0,,1.56,Alison Riske,76.0,9.0,3.0,69.0,31.0,66.0,51.0,36.0,15.0,9.0,9.0,,,,,1.0,137.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
6,H2H 1-0,Tara Moore,2.0,5.0,8397597.0,3559435.0,,2.15,Tara Moore,49.0,4.0,0.0,61.0,18.0,45.0,30.0,21.0,15.0,10.0,9.0,,,,,1.0,111.0,,,2.15,1.70,QF,6-2 6-4,grass,Saisai Zheng,1.0,2.0,8397597.0,3559436.0,,1.7,Saisai Zheng,62.0,5.0,3.0,50.0,19.0,59.0,37.0,27.0,22.0,16.0,9.0,,,,,2.0,111.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
7,H2H 1-1,Anna Tatishvili,3.0,1.0,8394926.0,3557936.0,,4.95,Anna Tatishvili,40.0,3.0,0.0,46.0,10.0,58.0,46.0,24.0,12.0,6.0,8.0,,,,,2.0,105.0,,,4.95,1.16,R16,6-1 6-3,grass,Karolina Pliskova,16.0,0.0,8394926.0,3557935.0,,1.16,Karolina Pliskova,65.0,11.0,4.0,59.0,29.0,46.0,33.0,27.0,13.0,9.0,8.0,,,,,1.0,105.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
8,H2H 1-0,Andrea Hlavackova,2.0,4.0,8397218.0,3558468.0,,2.9,Andrea Hlavackova,71.0,7.0,2.0,84.0,29.0,71.0,53.0,34.0,18.0,8.0,13.0,,,,,2.0,159.0,,,2.90,1.41,R16,6-0 4-6 6-4,grass,Ashleigh Barty,11.0,5.0,8397218.0,3558467.0,,1.41,Ashleigh Barty,88.0,10.0,5.0,75.0,33.0,79.0,56.0,40.0,23.0,15.0,13.0,,,,,1.0,159.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
9,H2H 1-1,Michelle Larcher De Brito,0.0,3.0,8397219.0,3558572.0,,2.65,Michelle Larcher De Brito,39.0,2.0,0.0,45.0,11.0,53.0,41.0,23.0,12.0,5.0,8.0,,,,,2.0,101.0,,,2.65,1.48,R16,6-4 6-0,grass,Monica Puig,5.0,3.0,8397219.0,3558571.0,,1.48,Monica Puig,62.0,10.0,4.0,56.0,28.0,42.0,30.0,25.0,12.0,9.0,8.0,,,,,1.0,101.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
