,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 4-0,Mirjana Lucic-Baroni,4.0,3.0,8389839.0,3552480.0,,2.3,Mirjana Lucic-Baroni,45.0,3.0,2.0,52.0,19.0,54.0,29.0,15.0,25.0,11.0,8.0,,,,,2.0,109.0,,,2.30,1.61,F,6-4 6-1,clay,Caroline Garcia,7.0,0.0,8389839.0,3552479.0,,1.61,Caroline Garcia,64.0,12.0,5.0,57.0,31.0,52.0,32.0,23.0,20.0,10.0,9.0,,,,,1.0,109.0,,,2016-05-16,https://matchstat.com/tennis/tournaments/w/Strasbourg/2016,Strasbourg
1,H2H 1-1,Virginie Razzano,2.0,5.0,8389371.0,3551961.0,,3.75,Virginie Razzano,104.0,10.0,5.0,105.0,41.0,109.0,73.0,43.0,36.0,20.0,17.0,,,,,1.0,219.0,,,3.75,1.28,SF,6-7(3) 6-4 7-5,clay,Caroline Garcia,5.0,1.0,8389371.0,3551962.0,,1.28,Caroline Garcia,115.0,14.0,7.0,114.0,51.0,104.0,76.0,45.0,28.0,19.0,17.0,,,,,2.0,219.0,,,2016-05-16,https://matchstat.com/tennis/tournaments/w/Strasbourg/2016,Strasbourg
2,H2H 3-0,Kristina Mladenovic,2.0,2.0,8389430.0,3552047.0,,2.23,Kristina Mladenovic,36.0,4.0,0.0,46.0,15.0,48.0,31.0,16.0,17.0,5.0,7.0,,,,,1.0,96.0,,,2.23,1.65,SF,6-1 6-1,clay,Mirjana Lucic-Baroni,1.0,1.0,8389430.0,3552048.0,,1.65,Mirjana Lucic-Baroni,60.0,9.0,5.0,50.0,29.0,45.0,29.0,21.0,16.0,10.0,7.0,,,,,2.0,96.0,,,2016-05-16,https://matchstat.com/tennis/tournaments/w/Strasbourg/2016,Strasbourg
3,H2H 4-4,Elena Vesnina,3.0,6.0,8389204.0,3551624.0,,1.364,Elena Vesnina,72.0,13.0,6.0,81.0,41.0,74.0,53.0,21.0,21.0,10.0,12.0,,,,,2.0,161.0,,,1.36,2.88,QF,6-1 3-6 6-1,clay,Virginie Razzano,0.0,6.0,8389204.0,3551623.0,,2.875,Virginie Razzano,89.0,16.0,10.0,80.0,49.0,75.0,50.0,29.0,25.0,11.0,11.0,,,,,1.0,161.0,,,2016-05-16,https://matchstat.com/tennis/tournaments/w/Strasbourg/2016,Strasbourg
4,H2H 0-0,Samantha Stosur,0.0,0.0,8389029.0,3551115.0,,1.8,Samantha Stosur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,,,1.80,1.95,QF,WO,clay,Caroline Garcia,0.0,0.0,8389029.0,3551116.0,,1.95,Caroline Garcia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,,,2016-05-16,https://matchstat.com/tennis/tournaments/w/Strasbourg/2016,Strasbourg
5,H2H 1-1,Alla Kudryavtseva,0.0,6.0,8388811.0,3551603.0,,3.0,Alla Kudryavtseva,46.0,8.0,5.0,53.0,28.0,49.0,34.0,15.0,15.0,3.0,9.0,,,,,1.0,108.0,,,3.00,1.36,QF,6-4 6-2,clay,Kristina Mladenovic,1.0,4.0,8388811.0,3551604.0,,1.364,Kristina Mladenovic,62.0,10.0,8.0,55.0,37.0,49.0,41.0,23.0,8.0,2.0,9.0,,,,,2.0,108.0,,,2016-05-16,https://matchstat.com/tennis/tournaments/w/Strasbourg/2016,Strasbourg
6,H2H 3-0,Pauline Parmentier,0.0,3.0,8389205.0,3551698.0,,1.98,Pauline Parmentier,21.0,0.0,0.0,36.0,8.0,34.0,22.0,7.0,12.0,6.0,6.0,,,,,2.0,73.0,,,1.98,1.82,QF,6-0 6-1,clay,Mirjana Lucic-Baroni,0.0,3.0,8389205.0,3551697.0,,1.82,Mirjana Lucic-Baroni,52.0,11.0,5.0,37.0,24.0,33.0,21.0,19.0,12.0,9.0,7.0,,,,,1.0,73.0,,,2016-05-16,https://matchstat.com/tennis/tournaments/w/Strasbourg/2016,Strasbourg
7,H2H 1-1,Monica Puig,6.0,6.0,8388419.0,3550445.0,,1.28,Monica Puig,86.0,7.0,4.0,82.0,34.0,79.0,54.0,35.0,25.0,17.0,13.0,,,,,1.0,167.0,,,1.28,3.50,R16,7-6(5) 2-6 3-2 Ret.,clay,Virginie Razzano,6.0,7.0,8388419.0,3550446.0,,3.5,Virginie Razzano,81.0,5.0,3.0,85.0,33.0,75.0,46.0,34.0,29.0,14.0,12.0,,,,,2.0,167.0,,,2016-05-16,https://matchstat.com/tennis/tournaments/w/Strasbourg/2016,Strasbourg
8,H2H 4-1,Kateryna Bondarenko,2.0,6.0,8388676.0,3550875.0,,2.5,Kateryna Bondarenko,65.0,5.0,2.0,67.0,26.0,64.0,36.0,25.0,28.0,14.0,11.0,,,,,1.0,137.0,,,2.50,1.51,R16,6-4 7-5,clay,Elena Vesnina,3.0,2.0,8388676.0,3550876.0,,1.51,Elena Vesnina,72.0,5.0,4.0,70.0,31.0,65.0,38.0,22.0,27.0,19.0,11.0,,,,,2.0,137.0,,,2016-05-16,https://matchstat.com/tennis/tournaments/w/Strasbourg/2016,Strasbourg
9,H2H 3-0,Su-Wei Hsieh,1.0,5.0,8387818.0,3550428.0,,5.5,Su-Wei Hsieh,72.0,8.0,2.0,81.0,31.0,69.0,40.0,24.0,29.0,17.0,10.0,,,,,2.0,155.0,,,5.50,1.14,R16,6-3 7-6(3),clay,Samantha Stosur,1.0,1.0,8387818.0,3550427.0,,1.14,Samantha Stosur,83.0,7.0,3.0,74.0,33.0,80.0,51.0,34.0,29.0,16.0,11.0,,,,,1.0,155.0,,,2016-05-16,https://matchstat.com/tennis/tournaments/w/Strasbourg/2016,Strasbourg
