,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 6-2,Angelique Kerber,,,8404745.0,3571876.0,,3.7,Angelique Kerber,,,,,,,,,,,,,,,,2.0,,,,3.70,1.29,F,7-5 6-3,grass,Serena Williams,,,8404745.0,3571875.0,,1.29,Serena Williams,,,,,,,,,,,,,,,,1.0,,,,2016-06-27,https://matchstat.com/tennis/tournaments/w/Wimbledon/2016,Wimbledon
1,H2H 5-0,Elena Vesnina,,,8404743.0,3571046.0,,9.0,Elena Vesnina,,,,,,,,,,,,,,,,2.0,,,,9.00,1.07,SF,6-2 6-0,grass,Serena Williams,,,8404743.0,3571045.0,,1.07,Serena Williams,,,,,,,,,,,,,,,,1.0,,,,2016-06-27,https://matchstat.com/tennis/tournaments/w/Wimbledon/2016,Wimbledon
2,H2H 4-2,Venus Williams,,,8404744.0,3571030.0,,2.7,Venus Williams,,,,,,,,,,,,,,,,2.0,,,,2.70,1.43,SF,6-4 6-4,grass,Angelique Kerber,,,8404744.0,3571029.0,,1.43,Angelique Kerber,,,,,,,,,,,,,,,,1.0,,,,2016-06-27,https://matchstat.com/tennis/tournaments/w/Wimbledon/2016,Wimbledon
3,H2H 6-0,Anastasia Pavlyuchenkova,,,8404739.0,3570524.0,,9.0,Anastasia Pavlyuchenkova,,,,,,,,,,,,,,,,2.0,,,,9.00,1.07,QF,6-4 6-4,grass,Serena Williams,,,8404739.0,3570523.0,,1.07,Serena Williams,,,,,,,,,,,,,,,,1.0,,,,2016-06-27,https://matchstat.com/tennis/tournaments/w/Wimbledon/2016,Wimbledon
4,H2H 4-3,Dominika Cibulkova,,,8404740.0,3570553.0,,1.4,Dominika Cibulkova,,,,,,,,,,,,,,,,1.0,,,,1.40,2.95,QF,6-2 6-2,grass,Elena Vesnina,,,8404740.0,3570554.0,,2.95,Elena Vesnina,,,,,,,,,,,,,,,,2.0,,,,2016-06-27,https://matchstat.com/tennis/tournaments/w/Wimbledon/2016,Wimbledon
5,H2H 2-3,Simona Halep,,,8404741.0,3570487.0,,2.0,Simona Halep,,,,,,,,,,,,,,,,1.0,,,,2.00,1.82,QF,7-5 7-6(2),grass,Angelique Kerber,,,8404741.0,3570488.0,,1.82,Angelique Kerber,,,,,,,,,,,,,,,,2.0,,,,2016-06-27,https://matchstat.com/tennis/tournaments/w/Wimbledon/2016,Wimbledon
6,H2H 1-0,Yaroslava Shvedova,,,8404742.0,3570556.0,,2.2,Yaroslava Shvedova,,,,,,,,,,,,,,,,2.0,,,,2.20,1.67,QF,7-6(5) 6-2,grass,Venus Williams,,,8404742.0,3570555.0,,1.67,Venus Williams,,,,,,,,,,,,,,,,1.0,,,,2016-06-27,https://matchstat.com/tennis/tournaments/w/Wimbledon/2016,Wimbledon
7,H2H 10-3,Svetlana Kuznetsova,,,8404731.0,3569994.0,,6.5,Svetlana Kuznetsova,,,,,,,,,,,,,,,,2.0,,,,6.50,1.11,R16,7-5 6-0,grass,Serena Williams,,,8404731.0,3569993.0,,1.11,Serena Williams,,,,,,,,,,,,,,,,1.0,,,,2016-06-27,https://matchstat.com/tennis/tournaments/w/Wimbledon/2016,Wimbledon
8,H2H 1-1,Coco Vandeweghe,,,8404732.0,3569986.0,,1.36,Coco Vandeweghe,,,,,,,,,,,,,,,,2.0,,,,1.36,3.25,R16,6-3 6-3,grass,Anastasia Pavlyuchenkova,,,8404732.0,3569985.0,,3.25,Anastasia Pavlyuchenkova,,,,,,,,,,,,,,,,1.0,,,,2016-06-27,https://matchstat.com/tennis/tournaments/w/Wimbledon/2016,Wimbledon
9,H2H 6-7,Agnieszka Radwanska,,,8404733.0,3569773.0,,1.615,Agnieszka Radwanska,,,,,,,,,,,,,,,,1.0,,,,1.62,2.20,R16,6-3 5-7 9-7,grass,Dominika Cibulkova,,,8404733.0,3569774.0,,2.2,Dominika Cibulkova,,,,,,,,,,,,,,,,2.0,,,,2016-06-27,https://matchstat.com/tennis/tournaments/w/Wimbledon/2016,Wimbledon
