,h2h,loser,round,score,start_date,tournament_link,tournament_name,winner
0,H2H 4-2,G. Vilas,F,6-3 6-3 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Roscoe Tanner
1,H2H 2-1,J. Alexander,SF,6-4 1-6 6-3 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,G. Vilas
2,H2H 1-1,K. Rosewall,SF,6-4 3-6 6-4 6-1,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Roscoe Tanner
3,H2H 4-1,Ross Case,QF,6-4 7-5 1-6 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,G. Vilas
4,H2H 2-3,A. Ashe,QF,6-3 6-4 4-6 7-6,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,J. Alexander
5,H2H 2-2,Mark Edmondson,QF,6-4 7-6 4-6 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,K. Rosewall
6,H2H 6-3,P. Dent,QF,6-3 6-4 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Roscoe Tanner
7,H2H 1-0,C. Pasarell,R16,7-6 6-2 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,G. Vilas
8,H2H 1-1,Dick Stockton,R16,6-4 4-6 6-7 7-5 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Ross Case
9,H2H 1-1,Hank Pfister,R16,7-6 6-3 3-6 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,A. Ashe
10,H2H 3-2,Colin Dibley,R16,6-4 6-2 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,J. Alexander
11,H2H 1-0,Richard Lewis,R16,6-1 6-3 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Mark Edmondson
12,H2H 2-0,M. Riessen,R16,6-7 7-6 7-5 3-6 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,K. Rosewall
13,H2H 2-0,Crealy,R16,6-3 6-3 7-6,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,P. Dent
