,h2h,loser,round,score,start_date,tournament_link,tournament_name,winner,surface
0,H2H 1-1,Chip Hooper,F,4-6 6-3 6-4 6-4,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Danny Saltz,hard
1,H2H 1-0,Brad Drewett,SF,7-6 7-6,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Danny Saltz,hard
2,H2H 2-0,Larry Stefanki,SF,6-4 6-3,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Chip Hooper,hard
3,H2H 0-0,Chris Lewis,QF,WO,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Brad Drewett,hard
4,H2H 1-0,Steve Guy,QF,3-6 7-5 6-4,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Danny Saltz,hard
5,H2H 1-0,J. Alexander,QF,5-7 6-3 6-2,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Larry Stefanki,hard
6,H2H 3-1,Russell Simpson,QF,6-2 2-6 6-4,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Chip Hooper,hard
7,H2H 2-0,John Frawley,R16,3-6 7-6 6-4,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Chris Lewis,hard
8,H2H 3-2,Vijay Amritraj,R16,7-6 4-6 6-1,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Brad Drewett,hard
9,H2H 1-0,Wally Masur,R16,6-3 7-6,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Steve Guy,hard
10,H2H 1-0,Lloyd Bourne,R16,6-2 7-5,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Danny Saltz,hard
11,H2H 1-0,Todd Nelson,R16,6-3 6-4,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Larry Stefanki,hard
12,H2H 1-0,Sean Brawley,R16,6-7 6-2 6-4,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,J. Alexander,hard
13,H2H 1-0,Peter Johnston,R16,7-6 4-6 6-1,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Russell Simpson,hard
14,H2H 1-0,William Maze,R16,6-3 6-3,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Chip Hooper,hard
15,H2H 2-0,Peter Doohan,R32,6-3 6-7 6-1,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Chris Lewis,hard
16,H2H 1-0,David Mustard,R32,7-6 6-2,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,John Frawley,hard
17,H2H 1-0,Jerome Vanier,R32,7-6 4-6 6-4,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Vijay Amritraj,hard
18,H2H 1-0,Mike Brunnberg,R32,6-1 6-4,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Brad Drewett,hard
19,H2H 1-0,Bruce Derlin,R32,4-6 6-3 6-3,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Wally Masur,hard
20,H2H 1-0,John Austin,R32,7-6 6-3,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Steve Guy,hard
21,H2H 1-0,Jonathan Smith,R32,6-1 3-6 6-4,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Danny Saltz,hard
22,H2H 1-0,Rand Evett,R32,3-6 6-1 6-4,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Lloyd Bourne,hard
23,H2H 1-1,Rod Frawley,R32,7-6 6-1,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Larry Stefanki,hard
24,H2H 1-0,Simon Youl,R32,6-3 7-6,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Todd Nelson,hard
25,H2H 1-0,David Lewis,R32,6-3 6-2,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,Sean Brawley,hard
26,H2H 1-0,Leif Shiras,R32,7-6 7-6,1984-01-09,https://matchstat.com/tennis/tournaments/m/Auckland/1984,Auckland,J. Alexander,hard
