,h2h,loser,round,score,start_date,surface,tournament_link,tournament_name,winner
0,H2H 9-4,Zina Garrison-Jackson,F,6-1 6-1,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Hana Mandlikova
1,H2H 3-3,Pam Casale-Telford,SF,6-0 5-7 6-2,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Zina Garrison-Jackson
2,H2H 12-2,Helena Sukova,SF,6-1 7-6,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Hana Mandlikova
3,H2H 3-0,Lisa Bonder-Kreiss,QF,6-1 6-3,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Zina Garrison-Jackson
4,H2H 2-0,Kathy Horvath,QF,6-2 6-1,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Pam Casale-Telford
5,H2H 3-1,Bonnie Gadusek,QF,6-2 6-4,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Hana Mandlikova
6,H2H 6-1,Barbara Potter,QF,4-6 6-1 6-3,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Helena Sukova
7,H2H 2-1,Andrea Jaeger,R16,6-0 6-1,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Lisa Bonder-Kreiss
8,H2H 3-1,Kimberly Shaefer,R16,6-4 7-6,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Zina Garrison-Jackson
9,H2H 2-0,Wendy Turnbull,R16,6-4 6-7 6-4,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Pam Casale-Telford
10,H2H 1-2,Joanne Russell,R16,6-4 7-5,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Kathy Horvath
11,H2H 5-0,Terry Phelps,R16,7-6 6-1,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Hana Mandlikova
12,H2H 2-0,Yvonne Vermaak,R16,6-4 5-7 6-0,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Bonnie Gadusek
13,H2H 2-0,Sandy Collins,R16,6-2 6-3,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Helena Sukova
14,H2H 2-2,Eva Pfaff,R16,6-2 6-1,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Barbara Potter
15,H2H 1-0,Sharon Walsh-Pete,R32,6-2 6-3,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Andrea Jaeger
16,H2H 2-0,Claudia Kohde-Kilsch,R32,6-7 6-1 6-2,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Lisa Bonder-Kreiss
17,H2H 1-0,Christiane Jolissaint,R32,6-4 6-3,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Kimberly Shaefer
18,H2H 4-0,Kim Sands,R32,6-3 6-4,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Zina Garrison-Jackson
19,H2H 5-0,Anne Hobbs,R32,6-7 6-2 6-3,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Wendy Turnbull
20,H2H 2-0,Pascale Paradis-Mangon,R32,6-2 6-2,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Pam Casale-Telford
21,H2H 2-0,Catrin Jexell,R32,6-3 7-5,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Joanne Russell
22,H2H 1-2,Manuela Maleeva-Fragniere,R32,4-6 6-3 6-1,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Kathy Horvath
23,H2H 5-1,Camille Benjamin,R32,6-4 6-2,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Hana Mandlikova
24,H2H 3-3,Raffaella Reggi-Concato,R32,6-3 6-3,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Terry Phelps
25,H2H 2-1,Andrea Leand,R32,6-4 3-6 6-1,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Yvonne Vermaak
26,H2H 1-3,Bettina Bunge,R32,6-1 6-4,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Bonnie Gadusek
27,H2H 4-1,Anne White,R32,6-4 7-5,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Helena Sukova
28,H2H 1-2,Carling Bassett-Seguso,R32,5-7 7-5 7-5,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Sandy Collins
29,H2H 4-1,Mareen Harper,R32,6-2 6-3,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Barbara Potter
30,H2H 1-0,Leslie Allen,R32,6-1 6-1,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,Eva Pfaff
31,,L Allen / A White,F,6-1 6-7 6-2,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,B Potter / S Walsh-pete
32,,H Mandlikova / H Sukova,SF,6-3 5-7 6-1,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,B Potter / S Walsh-pete
33,,B Bunge / E Pfaff,SF,6-4 6-4,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,L Allen / A White
34,,B Gadusek / C Jolissaint,QF,6-3 6-3,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,H Mandlikova / H Sukova
35,,C Benjamin / S Collins,QF,6-3 6-3,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,B Potter / S Walsh-pete
36,,L Antonoplis / B Jordan,QF,4-6 6-0 6-1,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,B Bunge / E Pfaff
37,,M Harper / K Sands,QF,6-2 6-3,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,L Allen / A White
38,,J Russell / P Shriver,R16,7-6 6-4,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,H Mandlikova / H Sukova
39,,I Kloss / Y Vermaak,R16,7-6 6-7 6-4,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,B Gadusek / C Jolissaint
40,,L Bonder-Kreiss / A Jaeger,R16,6-0 3-6 6-1,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,C Benjamin / S Collins
41,,T Holladay / K Shaefer,R16,4-6 6-1 6-2,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,B Potter / S Walsh-pete
42,,C Bassett-Seguso / K Horvath,R16,6-4 2-6 6-2,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,L Antonoplis / B Jordan
43,,Z Garrison-jackson / L McNeil,R16,6-4 7-6,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,B Bunge / E Pfaff
44,,C Kohde-Kilsch / P Paradis-Mangon,R16,7-6 6-4,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,M Harper / K Sands
45,,A Hobbs / W Turnbull,R16,6-4 7-5,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,L Allen / A White
46,H2H 2-0,Pam Teeguarden,F,6-2 6-1,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Jenny Klitch
47,H2H 2-0,Kathleen Cummings,SF,6-3 6-1,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Jenny Klitch
