,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,round,score,start_date,tournament_link,tournament_name,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners
0,H2H 1-4,Juan Carlos Ferrero,,,,,,,,,,,,,,,,,,,,,,,,,,,F,4-6 7-6(6) 7-6(4),2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Hyung-Taik Lee,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H2H 1-0,Wayne Ferreira,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,6-3 6-3,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Hyung-Taik Lee,,,,,,,,,,,,,,,,,,,,,,,,,,
2,H2H 5-2,Rainer Schuettler,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,3-6 6-3 6-2,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Juan Carlos Ferrero,,,,,,,,,,,,,,,,,,,,,,,,,,
3,H2H 1-1,Marat Safin,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,WO,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Hyung-Taik Lee,,,,,,,,,,,,,,,,,,,,,,,,,,
4,H2H 3-1,Franco Squillari,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,6-0 6-4,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Wayne Ferreira,,,,,,,,,,,,,,,,,,,,,,,,,,
5,H2H 1-3,Mardy Fish,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,7-6(5) 6-4,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Rainer Schuettler,,,,,,,,,,,,,,,,,,,,,,,,,,
6,H2H 3-2,Paradorn Srichaphan,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,6-3 6-1,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Juan Carlos Ferrero,,,,,,,,,,,,,,,,,,,,,,,,,,
7,H2H 6-2,Jarkko Nieminen,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,3-6 6-1 6-2,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Marat Safin,,,,,,,,,,,,,,,,,,,,,,,,,,
8,H2H 1-10,Andy Roddick,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,7-6(5) 7-5,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Hyung-Taik Lee,,,,,,,,,,,,,,,,,,,,,,,,,,
9,H2H 1-0,Nikolay Davydenko,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-1 6-4,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Franco Squillari,,,,,,,,,,,,,,,,,,,,,,,,,,
10,H2H 1-2,Juan Ignacio Chela,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-7(5) 6-4 6-4,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Wayne Ferreira,,,,,,,,,,,,,,,,,,,,,,,,,,
11,H2H 1-2,Gaston Gaudio,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,7-6(5) 6-0,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Rainer Schuettler,,,,,,,,,,,,,,,,,,,,,,,,,,
12,H2H 2-3,Carlos Moya,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,7-6(4) 4-6 6-4,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Mardy Fish,,,,,,,,,,,,,,,,,,,,,,,,,,
13,H2H 2-4,Max Mirnyi,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,3-6 6-4 6-4,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Paradorn Srichaphan,,,,,,,,,,,,,,,,,,,,,,,,,,
14,H2H 4-1,Mikhail Youzhny,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-3 6-2,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Juan Carlos Ferrero,,,,,,,,,,,,,,,,,,,,,,,,,,
15,H2H 6-3,Olivier Rochus,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,6-1 6-4,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Marat Safin,,,,,,,,,,,,,,,,,,,,,,,,,,
16,H2H 3-0,Peter Luczak,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,6-0 3-6 7-5,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Jarkko Nieminen,,,,,,,,,,,,,,,,,,,,,,,,,,
17,H2H 1-2,Nicolas Lapentti,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,6-2 6-0,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Hyung-Taik Lee,,,,,,,,,,,,,,,,,,,,,,,,,,
18,H2H 11-0,Tommy Robredo,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,6-2 6-2,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Andy Roddick,,,,,,,,,,,,,,,,,,,,,,,,,,
19,H2H 2-0,Roger Federer,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,6-2 6-3,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Franco Squillari,,,,,,,,,,,,,,,,,,,,,,,,,,
20,H2H 1-0,Raphael Durek,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,6-3 6-4,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Nikolay Davydenko,,,,,,,,,,,,,,,,,,,,,,,,,,
21,H2H 6-1,Thomas Enqvist,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,6-2 6-4,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Wayne Ferreira,,,,,,,,,,,,,,,,,,,,,,,,,,
22,H2H 3-0,Albert Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,7-6(4) 6-1,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Juan Ignacio Chela,,,,,,,,,,,,,,,,,,,,,,,,,,
23,H2H 1-1,Todd Reid,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,6-7(5) 6-2 7-5,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Gaston Gaudio,,,,,,,,,,,,,,,,,,,,,,,,,,
24,H2H 6-3,Ivan Ljubicic,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,6-2 7-6(1),2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Rainer Schuettler,,,,,,,,,,,,,,,,,,,,,,,,,,
25,H2H 1-0,Richard Krajicek,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,7-6(0) 6-4,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Mardy Fish,,,,,,,,,,,,,,,,,,,,,,,,,,
26,H2H 5-6,James Blake,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,6-3 6-7(6) 6-3,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Carlos Moya,,,,,,,,,,,,,,,,,,,,,,,,,,
27,H2H 2-1,Scott Draper,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,6-4 3-6 6-1,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Paradorn Srichaphan,,,,,,,,,,,,,,,,,,,,,,,,,,
28,H2H 3-1,Xavier Malisse,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,7-6(5) 6-7(5) 6-3,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Max Mirnyi,,,,,,,,,,,,,,,,,,,,,,,,,,
29,H2H 1-0,Adrian Voinea,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,3-6 2-1 Retired,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Mikhail Youzhny,,,,,,,,,,,,,,,,,,,,,,,,,,
30,H2H 1-0,Jaymon Crabb,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,5-7 7-5 6-3,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Juan Carlos Ferrero,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,M Bhupathi / J Eagle,,,,,,,,,,,,,,,,,,,,,,,,,,,F,7-6(3) 6-4,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,P Hanley / N Healey,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,M Knowles / D Nestor,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,7-6(8) 7-5,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,P Hanley / N Healey,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,B Bryan / M Bryan,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,6-3 6-2,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,M Bhupathi / J Eagle,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,T Shimada / P Srichaphan,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,6-1 6-4,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,M Knowles / D Nestor,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,M Damm / C Suk,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,4-6 6-4 6-3,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,P Hanley / N Healey,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,A Kratzmann / K Ullyett,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,6-2 3-6 7-6(6),2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,M Bhupathi / J Eagle,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,K Braasch / R Schuettler,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,7-6(4) 6-3,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,B Bryan / M Bryan,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,M Mirnyi / V Voltchkov,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-7(4) 6-3 6-3,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,M Knowles / D Nestor,,,,,,,,,,,,,,,,,,,,,,,,,,
