,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,start_date,tournament_link,tournament_name,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,surface
0,H2H 2-10,Stan Wawrinka,5.0,0.0,5915990.0,401081.0,,2.5,Stan Wawrinka,81.0,5.0,2.0,83.0,27.0,88.0,52.0,32.0,36.0,22.0,,,,,,1.0,171.0,,,2.5,1.5,F,7-6(2) 7-6(3),2010-01-04,https://matchstat.com/tennis/tournaments/m/Chennai/2010,Chennai,Marin Cilic,2.0,1.0,5915990.0,401082.0,,1.5,Marin Cilic,90.0,8.0,2.0,88.0,34.0,83.0,47.0,34.0,36.0,22.0,,,,,,2.0,171.0,,,hard
1,H2H 1-0,Dudi Sela,0.0,4.0,5915988.0,401079.0,,3.8,Dudi Sela,100.0,6.0,3.0,88.0,34.0,105.0,69.0,48.0,36.0,18.0,,,,,,1.0,193.0,,,3.8,1.25,SF,6-4 2-6 7-5,2010-01-04,https://matchstat.com/tennis/tournaments/m/Chennai/2010,Chennai,Stan Wawrinka,2.0,3.0,5915988.0,401080.0,,1.25,Stan Wawrinka,93.0,8.0,3.0,105.0,39.0,88.0,44.0,27.0,44.0,27.0,,,,,,2.0,193.0,,,hard
2,H2H 7-2,Janko Tipsarevic,2.0,2.0,5915989.0,139653.0,,2.7,Janko Tipsarevic,44.0,2.0,1.0,51.0,17.0,59.0,35.0,16.0,24.0,11.0,,,,,,1.0,110.0,,,2.7,1.45,SF,6-1 6-3,2010-01-04,https://matchstat.com/tennis/tournaments/m/Chennai/2010,Chennai,Marin Cilic,6.0,2.0,5915989.0,139654.0,,1.45,Marin Cilic,66.0,9.0,5.0,59.0,32.0,51.0,26.0,22.0,25.0,12.0,,,,,,2.0,110.0,,,hard
3,H2H 5-1,Lukas Lacko,1.0,2.0,5915984.0,139605.0,,2.15,Lukas Lacko,75.0,6.0,3.0,80.0,30.0,81.0,44.0,30.0,37.0,15.0,,,,,,1.0,161.0,,,2.15,1.7,QF,7-6(3) 7-5,2010-01-04,https://matchstat.com/tennis/tournaments/m/Chennai/2010,Chennai,Dudi Sela,1.0,4.0,5915984.0,139606.0,,1.7,Dudi Sela,86.0,10.0,4.0,81.0,36.0,80.0,44.0,33.0,36.0,17.0,,,,,,2.0,161.0,,,hard
4,H2H 1-2,Michael Berrer,2.0,2.0,5915985.0,401078.0,,3.5,Michael Berrer,64.0,5.0,1.0,69.0,21.0,70.0,47.0,34.0,23.0,9.0,,,,,,2.0,139.0,,,3.5,1.28,QF,7-6(5) 6-4,2010-01-04,https://matchstat.com/tennis/tournaments/m/Chennai/2010,Chennai,Stan Wawrinka,6.0,2.0,5915985.0,401077.0,,1.28,Stan Wawrinka,75.0,4.0,2.0,70.0,27.0,69.0,41.0,33.0,28.0,15.0,,,,,,1.0,139.0,,,hard
5,H2H 1-1,Thiemo de Bakker,7.0,1.0,5915986.0,139607.0,,2.9,Thiemo de Bakker,70.0,7.0,3.0,71.0,27.0,80.0,51.0,31.0,29.0,12.0,,,,,,1.0,151.0,,,2.9,1.4,QF,7-5 7-5,2010-01-04,https://matchstat.com/tennis/tournaments/m/Chennai/2010,Chennai,Janko Tipsarevic,3.0,3.0,5915986.0,139608.0,,1.4,Janko Tipsarevic,81.0,14.0,5.0,80.0,37.0,71.0,43.0,28.0,28.0,16.0,,,,,,2.0,151.0,,,hard
6,H2H 4-1,Santiago Giraldo,3.0,0.0,5915987.0,139609.0,,6.2,Santiago Giraldo,59.0,8.0,2.0,75.0,32.0,55.0,30.0,19.0,25.0,8.0,,,,,,1.0,130.0,,,6.2,1.1,QF,7-6(3) 6-1,2010-01-04,https://matchstat.com/tennis/tournaments/m/Chennai/2010,Chennai,Marin Cilic,3.0,2.0,5915987.0,139610.0,,1.1,Marin Cilic,71.0,4.0,4.0,55.0,28.0,75.0,37.0,19.0,38.0,24.0,,,,,,2.0,130.0,,,hard
7,H2H 1-0,Robby Ginepri,4.0,1.0,5915976.0,139581.0,,1.45,Robby Ginepri,70.0,4.0,1.0,75.0,23.0,71.0,38.0,23.0,33.0,24.0,,,,,,1.0,146.0,,,1.45,2.65,R16,7-6(3) 6-4,2010-01-04,https://matchstat.com/tennis/tournaments/m/Chennai/2010,Chennai,Lukas Lacko,11.0,1.0,5915976.0,139582.0,,2.65,Lukas Lacko,76.0,4.0,2.0,71.0,24.0,75.0,50.0,38.0,25.0,14.0,,,,,,2.0,146.0,,,hard
8,H2H 2-2,Kevin Kim,3.0,5.0,5915977.0,139583.0,,2.25,Kevin Kim,65.0,3.0,0.0,68.0,20.0,77.0,41.0,31.0,36.0,14.0,,,,,,1.0,145.0,,,2.25,1.65,R16,7-6(3) 6-2,2010-01-04,https://matchstat.com/tennis/tournaments/m/Chennai/2010,Chennai,Dudi Sela,3.0,2.0,5915977.0,139584.0,,1.65,Dudi Sela,80.0,7.0,2.0,77.0,32.0,68.0,49.0,36.0,19.0,12.0,,,,,,2.0,145.0,,,hard
9,H2H 2-0,Michael Russell,0.0,3.0,5915978.0,401076.0,,4.2,Michael Russell,54.0,3.0,1.0,63.0,22.0,55.0,29.0,16.0,26.0,16.0,,,,,,2.0,118.0,,,4.2,1.2,R16,6-3 6-4,2010-01-04,https://matchstat.com/tennis/tournaments/m/Chennai/2010,Chennai,Stan Wawrinka,5.0,4.0,5915978.0,401075.0,,1.2,Stan Wawrinka,64.0,6.0,3.0,55.0,23.0,63.0,33.0,24.0,30.0,17.0,,,,,,1.0,118.0,,,hard
