,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 4-4,Andrea Petkovic,2.0,5.0,4760249.0,34831.0,,1.625,Andrea Petkovic,37.0,5.0,1.0,55.0,20.0,43.0,27.0,12.0,16.0,5.0,,,,,,1.0,98.0,,,1.63,2.47,F,6-1 6-3,hard,Petra Kvitova,1.0,3.0,4760249.0,34832.0,,2.47,Petra Kvitova,61.0,6.0,5.0,43.0,26.0,55.0,29.0,20.0,26.0,15.0,,,,,,2.0,98.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/w/Brisbane/2011,Brisbane
1,H2H 4-2,Marion Bartoli,1.0,4.0,4760247.0,34828.0,,1.94,Marion Bartoli,44.0,4.0,3.0,46.0,18.0,59.0,44.0,21.0,15.0,5.0,,,,,,2.0,105.0,,,1.94,1.94,SF,6-4 6-2,hard,Andrea Petkovic,2.0,1.0,4760247.0,34827.0,,1.94,Andrea Petkovic,61.0,12.0,6.0,59.0,33.0,46.0,28.0,18.0,18.0,10.0,,,,,,1.0,105.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/w/Brisbane/2011,Brisbane
2,H2H 7-3,Anastasia Pavlyuchenkova,4.0,5.0,4760248.0,34826.0,,1.741,Anastasia Pavlyuchenkova,78.0,11.0,4.0,83.0,33.0,84.0,52.0,29.0,32.0,16.0,,,,,,2.0,167.0,,,1.74,2.25,SF,6-4 4-6 6-2,hard,Petra Kvitova,3.0,2.0,4760248.0,34825.0,,2.25,Petra Kvitova,89.0,9.0,6.0,84.0,39.0,83.0,55.0,35.0,28.0,15.0,,,,,,1.0,167.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/w/Brisbane/2011,Brisbane
3,H2H 5-2,Jarmila Gajdosova,,,4760243.0,3452213.0,,2.25,Jarmila Gajdosova,,,,,,,,,,,,,,,,1.0,,,,2.25,1.74,QF,6-3 6-4,hard,Andrea Petkovic,,,4760243.0,3452214.0,,1.741,Andrea Petkovic,,,,,,,,,,,,,,,,2.0,,,,2011-01-03,https://matchstat.com/tennis/tournaments/w/Brisbane/2011,Brisbane
4,H2H 2-0,Barbora Strycova,0.0,4.0,4760244.0,34868.0,,5.17,Barbora Strycova,41.0,4.0,2.0,57.0,23.0,48.0,31.0,13.0,17.0,5.0,,,,,,2.0,105.0,,,5.17,1.21,QF,6-2 6-1,hard,Marion Bartoli,0.0,3.0,4760244.0,34867.0,,1.211,Marion Bartoli,64.0,14.0,6.0,48.0,30.0,57.0,33.0,20.0,24.0,14.0,,,,,,1.0,105.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/w/Brisbane/2011,Brisbane
5,H2H 4-2,Dominika Cibulkova,0.0,5.0,4760245.0,34869.0,,1.833,Dominika Cibulkova,42.0,1.0,0.0,46.0,13.0,59.0,34.0,22.0,25.0,7.0,,,,,,1.0,105.0,,,1.83,2.11,QF,6-0 6-4,hard,Petra Kvitova,3.0,0.0,4760245.0,34870.0,,2.11,Petra Kvitova,63.0,10.0,4.0,59.0,30.0,46.0,31.0,24.0,15.0,9.0,,,,,,2.0,105.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/w/Brisbane/2011,Brisbane
6,H2H 5-2,Lucie Safarova,2.0,6.0,4760246.0,34858.0,,2.38,Lucie Safarova,110.0,11.0,4.0,113.0,47.0,122.0,77.0,46.0,45.0,17.0,,,,,,2.0,235.0,29.0,20.0,2.38,1.65,QF,6-2 6-7(4) 6-3,hard,Anastasia Pavlyuchenkova,11.0,8.0,4760246.0,34857.0,,1.65,Anastasia Pavlyuchenkova,125.0,21.0,7.0,122.0,59.0,113.0,72.0,48.0,41.0,18.0,,,,,,1.0,235.0,21.0,19.0,2011-01-03,https://matchstat.com/tennis/tournaments/w/Brisbane/2011,Brisbane
7,H2H 2-1,Samantha Stosur,,,4760235.0,3452211.0,,1.267,Samantha Stosur,,,,,,,,,,,,,,,,1.0,,,,1.27,4.26,R16,6-2 6-4,hard,Jarmila Gajdosova,,,4760235.0,3452212.0,,4.26,Jarmila Gajdosova,,,,,,,,,,,,,,,,2.0,,,,2011-01-03,https://matchstat.com/tennis/tournaments/w/Brisbane/2011,Brisbane
8,H2H 2-0,Jelena Dokic,1.0,6.0,4760236.0,34811.0,,2.96,Jelena Dokic,20.0,1.0,1.0,37.0,12.0,32.0,19.0,6.0,13.0,2.0,,,,,,1.0,69.0,,,2.96,1.45,R16,6-0 6-1,hard,Andrea Petkovic,3.0,2.0,4760236.0,34812.0,,1.45,Andrea Petkovic,49.0,10.0,6.0,32.0,24.0,37.0,21.0,15.0,16.0,10.0,,,,,,2.0,69.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/w/Brisbane/2011,Brisbane
9,H2H 4-1,Iveta Benesova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-1 3-6 6-0,hard,Marion Bartoli,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-03,https://matchstat.com/tennis/tournaments/w/Brisbane/2011,Brisbane
