,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name,surface
0,H2H 2-9,Roger Federer,7.0,3.0,8346968.0,3508933.0,,1.32,Roger Federer,57.0,1.0,0.0,60.0,18.0,58.0,34.0,25.0,24.0,14.0,10.0,,,,,1.0,121.0,,,1.32,3.55,F,6-4 6-4,Milos Raonic,6.0,6.0,8346968.0,3508934.0,,3.55,Milos Raonic,64.0,5.0,2.0,61.0,22.0,54.0,34.0,28.0,20.0,14.0,10.0,,,,,2.0,121.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
1,H2H 1-2,Dominic Thiem,2.0,4.0,8346574.0,3508736.0,,7.75,Dominic Thiem,41.0,1.0,1.0,49.0,14.0,51.0,31.0,18.0,20.0,9.0,8.0,,,,,2.0,104.0,,,7.75,1.08,SF,6-1 6-4,Roger Federer,6.0,0.0,8346574.0,3508735.0,,1.08,Roger Federer,63.0,6.0,4.0,55.0,28.0,49.0,27.0,23.0,22.0,12.0,9.0,,,,,1.0,104.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
2,H2H 3-0,Bernard Tomic,10.0,3.0,8346498.0,3508638.0,,2.35,Bernard Tomic,77.0,4.0,0.0,79.0,20.0,81.0,54.0,41.0,27.0,16.0,12.0,,,,,2.0,163.0,,,2.35,1.61,SF,7-6(5) 7-6(5),Milos Raonic,13.0,3.0,8346498.0,3508637.0,,1.61,Milos Raonic,86.0,2.0,0.0,84.0,27.0,76.0,49.0,40.0,27.0,19.0,12.0,,,,,1.0,163.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
3,H2H 5-0,Grigor Dimitrov,8.0,2.0,8346356.0,3508506.0,,5.1,Grigor Dimitrov,86.0,1.0,1.0,83.0,19.0,102.0,62.0,46.0,40.0,21.0,16.0,,,,,2.0,187.0,,,5.1,1.17,QF,6-4 6-7(4) 6-4,Roger Federer,7.0,1.0,8346356.0,3508505.0,,1.17,Roger Federer,101.0,11.0,3.0,104.0,37.0,82.0,52.0,45.0,30.0,19.0,16.0,,,,,1.0,187.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
4,H2H 1-0,Marin Cilic,11.0,2.0,8346292.0,3508279.0,,1.44,Marin Cilic,91.0,2.0,2.0,84.0,23.0,96.0,52.0,41.0,44.0,27.0,15.0,,,,,1.0,182.0,,,1.44,2.62,QF,2-6 7-6(4) 6-4,Dominic Thiem,6.0,0.0,8346292.0,3508280.0,,2.62,Dominic Thiem,91.0,8.0,1.0,98.0,30.0,84.0,55.0,41.0,29.0,20.0,15.0,,,,,2.0,182.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
5,H2H 2-0,Lucas Pouille,6.0,4.0,8346341.0,3508471.0,,4.85,Lucas Pouille,55.0,1.0,1.0,52.0,13.0,69.0,43.0,33.0,26.0,9.0,10.0,,,,,1.0,125.0,,,4.85,1.17,QF,6-4 6-4,Milos Raonic,12.0,4.0,8346341.0,3508472.0,,1.17,Milos Raonic,70.0,8.0,3.0,73.0,31.0,48.0,29.0,27.0,19.0,12.0,10.0,,,,,2.0,125.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
6,H2H 1-2,Kei Nishikori,5.0,3.0,8346293.0,3508340.0,,1.34,Kei Nishikori,89.0,11.0,3.0,97.0,39.0,81.0,52.0,35.0,29.0,15.0,12.0,,,,,2.0,181.0,,,1.34,3.1,QF,6-3 1-6 6-3,Bernard Tomic,14.0,1.0,8346293.0,3508339.0,,3.1,Bernard Tomic,92.0,10.0,3.0,84.0,34.0,96.0,62.0,45.0,34.0,13.0,13.0,,,,,1.0,181.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
7,H2H 2-0,Tobias Kamke,2.0,4.0,8345534.0,3507948.0,,12.0,Tobias Kamke,31.0,1.0,0.0,40.0,10.0,42.0,27.0,15.0,15.0,6.0,8.0,,,,,2.0,86.0,,,12.0,1.02,R16,6-2 6-1,Roger Federer,2.0,1.0,8345534.0,3507947.0,,1.02,Roger Federer,55.0,6.0,5.0,46.0,25.0,39.0,22.0,18.0,17.0,12.0,7.0,,,,,1.0,86.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
8,H2H 2-2,Viktor Troicki,9.0,1.0,8346094.0,3508033.0,,3.2,Viktor Troicki,115.0,7.0,2.0,117.0,41.0,119.0,76.0,51.0,43.0,23.0,16.0,,,,,1.0,237.0,,,3.2,1.33,R16,5-7 7-6(6) 6-2,Grigor Dimitrov,9.0,4.0,8346094.0,3508034.0,,1.33,Grigor Dimitrov,122.0,9.0,3.0,120.0,46.0,113.0,70.0,51.0,43.0,25.0,16.0,,,,,2.0,237.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
9,H2H 3-0,Hyeon Chung,5.0,2.0,8345535.0,3507974.0,,3.25,Hyeon Chung,75.0,6.0,2.0,77.0,24.0,77.0,50.0,36.0,27.0,15.0,12.0,,,,,2.0,156.0,,,3.25,1.33,R16,7-5 7-6(3),Marin Cilic,18.0,3.0,8345535.0,3507973.0,,1.33,Marin Cilic,81.0,9.0,3.0,79.0,28.0,74.0,44.0,37.0,30.0,16.0,12.0,,,,,1.0,156.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
10,H2H 1-0,Denis Kudla,0.0,2.0,8346095.0,3508113.0,,2.85,Denis Kudla,36.0,0.0,0.0,45.0,9.0,46.0,27.0,19.0,19.0,8.0,8.0,,,,,1.0,93.0,,,2.85,1.4,R16,6-3 6-2,Dominic Thiem,7.0,1.0,8346095.0,3508114.0,,1.4,Dominic Thiem,57.0,5.0,3.0,48.0,21.0,44.0,33.0,28.0,11.0,8.0,9.0,,,,,2.0,93.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
11,H2H 2-0,David Goffin,9.0,1.0,8346225.0,3508141.0,,1.16,David Goffin,97.0,11.0,2.0,106.0,37.0,91.0,50.0,40.0,41.0,20.0,16.0,,,,,1.0,198.0,,,1.16,5.05,R16,7-6(5) 4-6 6-3,Lucas Pouille,13.0,4.0,8346225.0,3508142.0,,5.05,Lucas Pouille,101.0,4.0,3.0,92.0,32.0,102.0,57.0,45.0,45.0,24.0,15.0,,,,,2.0,198.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
12,H2H 2-2,Ivan Dodig,11.0,2.0,8345536.0,3508117.0,,3.8,Ivan Dodig,96.0,3.0,0.0,106.0,32.0,98.0,66.0,47.0,32.0,17.0,14.0,,,,,1.0,206.0,,,3.8,1.25,R16,6-7(2) 6-1 6-4,Milos Raonic,17.0,5.0,8345536.0,3508118.0,,1.25,Milos Raonic,110.0,10.0,3.0,100.0,36.0,101.0,62.0,51.0,39.0,23.0,15.0,,,,,2.0,206.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
13,H2H 1-3,Radek Stepanek,14.0,5.0,8346244.0,3508172.0,,3.5,Radek Stepanek,113.0,6.0,3.0,114.0,41.0,102.0,66.0,54.0,36.0,18.0,17.0,,,,,2.0,221.0,,,3.5,1.28,R16,7-6(6) 4-6 7-6(4),Bernard Tomic,19.0,1.0,8346244.0,3508171.0,,1.28,Bernard Tomic,108.0,6.0,2.0,107.0,35.0,113.0,78.0,56.0,35.0,17.0,17.0,,,,,1.0,221.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
14,H2H 7-0,Mikhail Kukushkin,3.0,0.0,8345537.0,3508169.0,,5.45,Mikhail Kukushkin,52.0,6.0,1.0,61.0,19.0,58.0,36.0,23.0,22.0,10.0,9.0,,,,,1.0,119.0,,,5.45,1.14,R16,6-3 6-4,Kei Nishikori,5.0,2.0,8345537.0,3508170.0,,1.14,Kei Nishikori,67.0,7.0,3.0,58.0,25.0,59.0,40.0,29.0,19.0,13.0,10.0,,,,,2.0,119.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
15,H2H 1-0,Benjamin Mitchell,4.0,3.0,8345519.0,3507735.0,,2.0,Benjamin Mitchell,51.0,0.0,0.0,59.0,17.0,56.0,37.0,24.0,19.0,10.0,9.0,,,,,1.0,118.0,,,2.0,1.77,R32,6-2 6-4,Tobias Kamke,1.0,0.0,8345519.0,3507736.0,,1.77,Tobias Kamke,67.0,8.0,3.0,59.0,25.0,59.0,36.0,29.0,23.0,13.0,9.0,,,,,2.0,118.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
16,H2H 1-0,Steve Johnson,3.0,0.0,8345520.0,3507302.0,,1.95,Steve Johnson,49.0,3.0,2.0,56.0,15.0,62.0,33.0,20.0,29.0,14.0,9.0,,,,,2.0,118.0,,,1.95,1.8,R32,7-6(3) 6-1,Viktor Troicki,3.0,2.0,8345520.0,3507301.0,,1.8,Viktor Troicki,69.0,8.0,4.0,62.0,28.0,54.0,34.0,28.0,20.0,13.0,10.0,,,,,1.0,118.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
17,H2H 1-5,Gilles Simon,2.0,3.0,8345521.0,3507294.0,,1.8,Gilles Simon,79.0,7.0,1.0,81.0,27.0,88.0,55.0,36.0,33.0,16.0,10.0,,,,,2.0,172.0,,,1.8,1.95,R32,6-3 7-6(10),Grigor Dimitrov,8.0,6.0,8345521.0,3507293.0,,1.95,Grigor Dimitrov,93.0,5.0,2.0,91.0,39.0,75.0,46.0,36.0,29.0,18.0,11.0,,,,,1.0,172.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
18,H2H 1-1,Sam Groth,11.0,3.0,8345523.0,3507304.0,,2.4,Sam Groth,73.0,4.0,2.0,73.0,24.0,81.0,52.0,39.0,29.0,10.0,11.0,,,,,2.0,157.0,,,2.4,1.56,R32,7-6(8) 6-4,Hyeon Chung,2.0,3.0,8345523.0,3507303.0,,1.56,Hyeon Chung,84.0,11.0,3.0,84.0,35.0,70.0,48.0,35.0,22.0,14.0,11.0,,,,,1.0,157.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
